"Min,Max,Modal Price from Tamil Nadu[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2015To01-Jan-2019 (Total-281) (Total-281)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1371,1379,1372,22-Nov-17
2,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1371,1480,1480,18-Jan-16
3,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1739,1728,29-Aug-17
4,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1960,2000,2000,10-Mar-15
5,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1519,1519,1519,29-Aug-16
6,Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2000,1900,16-Jul-16
7,Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1215,1289,1239,1-Sep-15
8,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1250,24-Jun-15
9,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1300,18-Mar-15
10,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1450,1350,4-May-17
11,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1500,1400,9-Nov-16
12,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1550,1450,24-May-17
13,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1550,1500,26-Feb-18
14,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1700,1650,11-Jul-18
15,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1750,1700,24-Sep-18
16,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1880,1750,10-Oct-18
17,Cuddalore,Tittakudi,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1524,1527,1527,21-Jan-17
18,Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1789,4209,1789,28-Jul-16
19,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1191,1180,30-Nov-17
20,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1006,1150,1050,17-Nov-17
21,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1334,1325,24-Oct-17
22,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1310,1310,1310,6-Apr-15
23,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1669,1669,1669,11-Aug-16
24,Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1800,1700,26-Feb-18
25,Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1415,0,0,2-Sep-15
26,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1271,1271,1271,5-Feb-18
27,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1369,1479,1439,14-May-18
28,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1250,9-Apr-15
29,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1450,1400,25-Jan-17
30,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1550,1500,17-Feb-18
31,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,10-May-18
32,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1650,1600,6-Jun-18
33,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1700,1650,10-Jul-18
34,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1800,1700,27-Sep-18
35,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1850,1750,31-Oct-18
36,Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1259,1440,1389,8-Oct-18
37,Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,1494,2843,1551,25-Oct-16
38,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1463,1463,1463,12-Aug-15
39,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1069,1189,1129,13-Jun-17
40,Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2000,1950,14-Sep-17
41,Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,6-Jun-17
42,Salem,Gangavalli,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2300,2200,25-May-17
43,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1579,1579,1579,14-Oct-16
44,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1600,1600,1600,14-Nov-16
45,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1200,15-Jun-16
46,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1200,17-Jun-15
47,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1200,23-Jan-16
48,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1350,1250,7-Apr-15
49,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1250,7-May-15
50,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1250,13-May-15
51,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,9-May-18
52,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,28-Mar-18
53,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1750,1700,9-Aug-18
54,Cuddalore,Virudhachalam,Bajra(Pearl Millet/Cumbu),Other,FAQ,5161,7495,6329,13-Jun-17
55,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1261,1261,1261,28-Jan-15
56,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1273,1310,1295,4-Oct-17
57,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1426,1426,1426,21-Jan-16
58,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1435,1435,1435,21-May-15
59,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1537,1539,1539,9-Sep-15
60,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1625,1630,1629,27-Oct-16
61,Coimbatore,Karamadai,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,26-Feb-16
62,Cuddalore,Sethiathoppu,Bajra(Pearl Millet/Cumbu),Other,FAQ,1156,1315,1267,31-Aug-15
63,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1500,1571,1561,9-Dec-16
64,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1561,1561,1561,5-Oct-16
65,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1629,1629,1629,16-Nov-16
66,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1300,1250,29-Apr-15
67,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1300,1250,1-Jun-15
68,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1400,1300,24-Aug-16
69,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1450,1350,17-Dec-16
