"Min,Max,Modal Price from Tamil Nadu[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2019To01-Jan-2022 (Total-55) (Total-55)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,11-Nov-19
2,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,13-Nov-19
3,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1159,1159,1159,18-Sep-20
4,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1614,1614,1614,16-Oct-19
5,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1609,1624,1609,14-Oct-19
6,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1630,1630,1630,9-Oct-19
7,Salem,Thammampati,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2000,1900,13-May-19
8,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1825,1725,5-Nov-19
9,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,2060,2270,2060,10-Jul-19
10,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,19-Jun-19
11,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,2000,11-Dec-19
12,Theni,Theni,Bajra(Pearl Millet/Cumbu),Small,FAQ,1700,1750,1725,24-May-21
13,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2100,2000,30-Jan-19
14,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,23-Jan-19
15,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,27-Mar-19
16,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,8-May-19
17,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,2-May-19
18,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,2000,22-Nov-19
19,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,4-Dec-19
20,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2100,2000,19-Nov-19
21,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,1-Apr-19
22,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,13-Feb-19
23,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,22-Apr-19
24,Coimbatore,Thiruppur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2100,2000,26-Jun-19
25,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2050,1980,12-Dec-19
26,Namakkal,Namakkal,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2500,2200,26-Apr-19
27,Cuddalore,Shrimushnam,Bajra(Pearl Millet/Cumbu),Bold,FAQ,1939,1939,1939,1-Apr-19
