"Min,Max,Modal Price from Tamil Nadu[Cashewnuts] from 01-Jan-2015To21-Jul-2025 (Total-1850) (Total-1850)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,5600,7500,6900,04-Jul-19
2,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6000,6150,6050,19-Jun-19
3,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6050,6200,6100,07-Jun-19
4,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6050,6200,6100,20-Jun-19
5,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,04-Jun-19
6,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,06-Jun-19
7,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,10-Jun-19
8,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,11-Jun-19
9,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,17-Jun-19
10,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,18-Jun-19
11,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,12-Jun-19
12,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,13-Jun-19
13,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,14-Jun-19
14,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,24-Jun-19
15,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6375,6300,31-May-19
16,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6400,6300,03-Jun-19
17,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6400,6300,25-Jun-19
18,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6300,6450,6350,26-Jun-19
19,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6600,6750,6650,28-Jun-19
