"Min,Max,Modal Price from Tamil Nadu[Coconut] from 01-Jan-2022To01-Jan-2024 (Total-6244) (Total-6244)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Alangeyam,Coconut,Big,FAQ,1400,1500,1450,02-Feb-22
2,Erode,Alangeyam,Coconut,Big,FAQ,2090,2178,2115,28-Jun-23
3,Erode,Alangeyam,Coconut,Big,FAQ,2300,2400,2350,05-Jan-22
4,Erode,Alangeyam,Coconut,Big,FAQ,2300,2400,2350,24-Jan-22
5,Erode,Alangeyam,Coconut,Big,FAQ,2300,2500,2400,26-May-22
6,Erode,Alangeyam,Coconut,Big,FAQ,2400,2500,2450,21-Jan-22
7,Erode,Alangeyam,Coconut,Big,FAQ,2400,2500,2450,28-Nov-23
8,Erode,Alangeyam,Coconut,Coconut,FAQ,1200,1250,1225,30-Mar-23
9,Erode,Alangeyam,Coconut,Coconut,FAQ,2400,2500,2450,12-Jan-22
10,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,04-Jul-23
11,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,05-Jul-23
12,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,06-Jul-23
13,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,12-Jul-23
14,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,13-Jul-23
15,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,15-Jul-23
16,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,16-Jun-23
17,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,19-Jun-23
18,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,20-Jun-23
19,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,21-Jun-23
20,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,22-Jun-23
21,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2000,1900,23-Jun-23
22,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2100,1900,18-Jul-23
23,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2100,1900,19-Jul-23
24,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2100,1900,24-Jul-23
25,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2400,2200,03-Oct-23
26,Coimbatore,Anaimalai,Coconut,Other,FAQ,1800,2400,2200,05-Oct-23
27,Coimbatore,Anaimalai,Coconut,Other,FAQ,1900,2100,2000,14-Jul-23
28,Coimbatore,Anaimalai,Coconut,Other,FAQ,1900,2100,2000,14-Jun-23
29,Coimbatore,Anaimalai,Coconut,Other,FAQ,1900,2100,2000,15-Jun-23
30,Coimbatore,Anaimalai,Coconut,Other,FAQ,1900,2170,2000,10-Jul-23
31,Coimbatore,Anaimalai,Coconut,Other,FAQ,1900,2170,2000,11-Jul-23
