"Min,Max,Modal Price from Tamil Nadu[Coconut] from 01-Jan-2025To21-Jul-2025 (Total-31964) (Total-31964)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6000,6500,6500,09-Jan-25
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6000,6500,6500,10-Jan-25
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6000,6500,6500,18-May-25
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6000,6600,6600,20-Jan-25
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6000,6600,6600,26-May-25
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6200,6500,6500,24-May-25
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,12-Jan-25
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,14-May-25
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,20-May-25
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,21-May-25
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,22-Jan-25
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,24-Jan-25
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,25-May-25
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,26-Jan-25
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,28-May-25
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,29-Jan-25
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,29-May-25
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6400,6600,6600,30-May-25
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,6800,6800,06-Jan-25
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,6800,6800,14-Jan-25
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,01-Jun-25
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,03-Jun-25
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,07-Jan-25
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,08-Jun-25
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,12-May-25
26,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,13-Jan-25
27,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,19-May-25
28,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,27-Jan-25
29,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,27-Mar-25
30,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,27-May-25
31,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6500,7000,7000,28-Jan-25
32,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,01-Jan-25
33,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,02-Jan-25
34,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,03-Jan-25
35,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,04-Jan-25
36,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,05-Jan-25
37,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,08-Jan-25
38,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,11-Jan-25
39,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Coconut,Coconut,Local,6600,6800,6800,15-Jan-25
