Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Alangeyam,Maize,Other,FAQ,1210,1250,1220,14 Feb 2015
2,Erode,Alangeyam,Maize,Other,FAQ,1501,1512,1506,26 Apr 2016
3,Erode,Alangeyam,Maize,Other,FAQ,2621,2626,2626,07 Jun 2016
4,Erode,Alangeyam,Maize,Yellow,FAQ,1640,1720,1680,05 Sep 2017
5,Coimbatore,Anaimalai,Maize,Other,FAQ,1600,1700,1650,08 Sep 2017
6,Coimbatore,Annur,Maize,Other,FAQ,1450,1550,1500,26 Dec 2016
7,Erode,Anthiyur,Maize,Other,FAQ,1139,1170,1162,09 Feb 2015
8,Erode,Anthiyur,Maize,Other,FAQ,1179,1206,1179,12 Mar 2018
9,Erode,Anthiyur,Maize,Other,FAQ,1211,1289,1269,30 Apr 2018
10,Erode,Anthiyur,Maize,Other,FAQ,1231,1342,1301,15 Jun 2015
11,Erode,Anthiyur,Maize,Other,FAQ,1242,1261,1258,19 Feb 2018
12,Erode,Anthiyur,Maize,Other,FAQ,1250,1331,1301,18 May 2015
13,Erode,Anthiyur,Maize,Other,FAQ,1262,1330,1301,27 Apr 2015
14,Erode,Anthiyur,Maize,Other,FAQ,1356,1356,1356,01 Oct 2018
15,Erode,Anthiyur,Maize,Other,FAQ,1429,1479,1459,17 Aug 2015
16,Erode,Anthiyur,Maize,Other,FAQ,1450,1516,1501,05 Dec 2016
17,Erode,Anthiyur,Maize,Other,FAQ,1686,1829,1752,18 Jul 2016
18,Ariyalur,Ariyalur Market,Maize,Other,FAQ,738,858,838,20 Oct 2017
19,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1060,1152,1149,08 Jan 2015
20,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1079,1159,1149,12 Jan 2015
21,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1096,1169,1127,09 Feb 2015
22,Ariyalur,Ariyalur Market,Maize,Other,FAQ,1169,1479,1369,22 Oct 2018
