"Min,Max,Modal Price from Tamil Nadu[Ragi (Finger Millet)] from 01-Jan-2015To01-Jan-2019 (Total-7887) (Total-7887)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149,1149,1149,23-Feb-16
2,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149,1669,1409,13-Jun-18
3,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1169,1169,1169,3-Jan-17
4,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1188,1188,1188,8-Sep-15
5,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1269,1456,1363,8-Dec-15
6,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1299,1299,1299,7-Mar-16
7,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1319,1319,1319,15-Oct-15
8,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367,1367,1367,22-Feb-16
9,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367,1747,1557,15-May-18
10,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1369,1369,1369,19-Aug-15
11,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1410,1410,1410,27-Sep-16
12,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1419,1419,1419,28-Dec-15
13,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1469,1469,1469,20-Oct-16
14,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1567,1642,1605,2-May-18
15,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1587,1587,1587,23-Dec-16
16,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1619,1619,1619,23-Sep-15
17,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1660,1660,1660,5-Jun-15
18,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1669,1669,1669,5-May-16
19,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1720,1720,1720,27-May-15
20,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1739,1739,1739,27-Jul-16
21,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1789,1789,1789,4-May-15
22,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1790,1800,1795,11-May-15
23,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1800,1800,1800,8-Jun-15
24,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1869,1869,1869,21-Aug-15
25,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1941,1941,1941,16-Mar-15
26,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1950,1950,1950,30-Mar-15
27,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1969,1969,1969,31-May-16
28,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1970,1970,1970,31-Mar-15
29,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2000,2000,2000,26-May-16
30,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2024,2026,2025,20-Mar-18
31,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2139,2139,2139,28-Feb-17
32,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2140,2140,2140,27-Mar-15
33,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2169,2169,2169,12-Jul-17
34,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2179,2179,2179,22-Jun-17
35,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2198,2200,2199,19-Jan-18
36,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2229,2231,2230,22-Feb-18
37,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2230,2320,2275,28-Apr-17
38,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2232,2232,2232,27-Apr-17
39,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2269,2269,2269,15-May-17
40,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2310,2310,2310,26-Apr-17
41,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2369,2369,2369,5-Apr-17
42,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2369,2369,2369,23-May-17
43,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2399,2401,2400,12-Apr-18
44,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2430,2530,2480,24-Apr-17
45,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2469,2471,2470,24-Apr-18
46,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2579,2581,2580,29-Jan-18
47,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2589,2970,2780,19-Apr-17
48,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2618,2620,2619,28-Mar-18
49,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2689,2691,2690,10-Apr-18
50,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2729,2729,2729,20-Apr-17
51,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2729,2729,2729,21-Apr-17
52,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,3000,3050,3025,21-Mar-17
53,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,3070,3070,3070,18-Apr-17
54,Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,3200,3200,3200,6-Mar-17
55,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,0,1360,0,23-Jun-15
56,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,0,1396,0,25-Jun-15
57,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,0,1656,0,25-Feb-16
58,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,0,1659,0,5-Oct-15
59,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,0,1752,0,23-Apr-15
60,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,802,976,889,12-May-15
61,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,820,1665,1617,23-Jan-15
62,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1009,1479,1244,6-Jul-15
63,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1009,1511,1260,25-Aug-15
64,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1033,2196,1076,6-Apr-18
65,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1049,1539,1279,19-Jun-15
66,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1051,0,0,11-Sep-15
67,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1060,1600,1569,8-Feb-18
68,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1069,0,0,26-Feb-16
69,Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1069,1442,1255,22-Jul-15
