"Min,Max,Modal Price from Tamil Nadu[Chili Red] from 01-Jan-2015To21-Jul-2025 (Total-1878) (Total-1878)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,1-Jul-25
2,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,1-Jun-25
3,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,2-Jul-25
4,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,2-Jun-25
5,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,3-Jul-25
6,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,3-Jun-25
7,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,4-Jul-25
8,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,4-Jun-25
9,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,5-Jul-25
10,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,5-Jun-25
11,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,6-Jun-25
12,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,7-Jul-25
13,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,7-Jun-25
14,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,8-Jul-25
15,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,8-Jun-25
16,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,9-Jul-25
17,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,9-Jun-25
18,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,10-Jul-25
19,Thiruvellore,Ambattur(Uzhavar Sandhai ),Chili Red,Bold,Local,20000,20000,20000,11-Jul-25
