Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,8400,10600,9500,16-Aug-19
2,Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,9000,10000,9500,6-Jun-16
3,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,9000,8000,26-Feb-16
4,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,2-Jan-17
5,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,4-Jan-17
6,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,5-Nov-16
7,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,10-Oct-16
8,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,12-Nov-16
9,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,14-Nov-16
10,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,21-Jan-17
11,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,22-Oct-16
12,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,24-Oct-16
13,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,25-Oct-16
14,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,11000,9000,29-Nov-16
15,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000,12000,9000,23-Jul-15
16,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300,12300,9800,13-Sep-16
17,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300,12300,9800,16-Sep-16
18,Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300,12300,9800,17-Sep-16
