"Min,Max,Modal Price from Tamil Nadu[Sesamum(Sesame,Gingelly,Til)] from 01-Jan-2015To01-Jan-2019 (Total-8246) (Total-8246)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Villupuram,Ananthapuram,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,4900,5250,5100,7-Apr-15
2,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,1679,5549,5549,18-Jan-16
3,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,2526,4515,3851,20-Jul-15
4,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,2719,4701,4121,29-Jun-15
5,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,2839,4848,3989,13-Jul-15
6,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,2919,4851,4011,6-Jul-15
7,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3049,4689,4156,24-Aug-15
8,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3109,5439,4856,17-Aug-15
9,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3119,5201,4029,28-Sep-15
10,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3129,4849,4119,14-Mar-16
11,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3269,5219,4719,31-Aug-15
12,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3420,4800,4280,27-Jul-15
13,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3469,5609,4629,21-Sep-15
14,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,3589,5229,4689,14-Sep-15
15,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,4179,5489,4419,5-Oct-15
16,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,5439,7879,6839,7-Sep-15
17,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,6009,8840,7369,28-Mar-16
18,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,3119,3419,3269,29-Feb-16
19,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,3269,5609,3269,22-Feb-16
20,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,3516,7509,6169,21-Mar-16
21,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,7709,8419,8209,9-Mar-15
22,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Punjab Til No.1,FAQ,3219,4249,3619,15-Feb-16
23,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Punjab Til No.1,FAQ,3519,5829,5019,1-Feb-16
24,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,2517,5119,4411,6-Jul-15
25,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,2811,5459,4751,29-Jun-15
26,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,2869,4689,4001,20-Jul-15
27,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,2869,5039,4051,13-Jul-15
28,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,3019,4649,4111,27-Jul-15
29,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,3889,5489,4809,24-Jul-17
30,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,3909,4869,4419,17-Jul-17
31,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,3989,5469,4689,10-Jul-17
32,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",Red,FAQ,4016,5269,4589,26-Jun-17
