Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,3729,9869,8879,24-Nov-20
2,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,4669,10169,10169,23-Sep-19
3,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,5309,10209,8109,5-Nov-19
4,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,6269,9621,8249,10-Nov-20
5,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,6489,9089,8939,11-Aug-20
6,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,6689,8900,8529,19-Aug-20
7,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,6896,9409,8339,25-Aug-20
8,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7167,12319,9719,10-Dec-19
9,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7329,7439,7384,17-Nov-20
10,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7389,10219,9619,29-Dec-20
11,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7469,12389,10819,17-Dec-19
12,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7509,11329,10629,28-Dec-21
13,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7529,9399,9099,27-Jul-21
14,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7659,11523,10223,5-Aug-19
15,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7669,9399,8439,17-Aug-21
16,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7669,12809,11919,24-Dec-19
17,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7689,12319,10285,3-Dec-19
18,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7819,8469,8329,24-Aug-21
19,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7869,9889,9569,20-Jul-21
20,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8169,9229,8769,28-Jul-20
21,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8222,13419,11529,28-Jan-20
22,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8329,10129,9336,21-Dec-21
23,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8369,11069,10325,9-Sep-19
24,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8379,10419,9009,23-Jun-20
25,Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8469,9639,9469,14-Dec-21
