Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2000,4215,2591,16-Aug-21
2,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2085,2300,2100,5-Oct-17
3,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2500,2760,2650,22-Mar-17
4,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2865,2865,2865,13-Mar-17
5,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3015,3029,3021,20-Feb-19
6,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3086,3126,3126,5-May-16
7,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3160,3160,3160,22-Jul-16
8,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3166,3166,3166,1-Jun-16
9,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3166,3166,3166,30-May-16
10,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3169,3229,3209,14-Sep-16
11,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3209,3241,3241,4-Aug-16
12,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3229,3229,3229,20-Jul-16
13,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3321,3321,3321,6-Jun-16
14,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3900,4144,4000,30-Nov-22
15,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,4297,4700,4606,27-Sep-21
16,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,4355,4730,4545,22-Oct-21
17,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,4631,5711,5709,14-Jul-22
18,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,5000,5430,5100,10-Apr-17
19,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,5141,6121,5959,8-Sep-22
20,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,5451,6162,5715,24-Aug-22
21,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,5831,6216,6168,19-Sep-22
22,Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,5831,6285,6186,20-Sep-22
23,Villupuram,Avalurpet,Sunflower,Other,FAQ,2022,2222,2122,26-Mar-18
24,Erode,Boothapadi,Sunflower,Other,FAQ,28.31,31.29,29.5,9-Jun-15
