District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-01-09,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-01-10,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-05-18,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6600.0,6600.0,2025-01-20,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6600.0,6600.0,2025-05-26,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6200.0,6500.0,6500.0,2025-05-24,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-12,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-14,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-20,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-21,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-22,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-24,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-25,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-26,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-28,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-29,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-29,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-30,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,6800.0,6800.0,2025-01-06,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,6800.0,6800.0,2025-01-14,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-01,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-03,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-07,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-08,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-12,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-13,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-19,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-27,0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-03-27,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-27,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-28,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-01,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-02,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-03,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-04,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-05,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-08,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-11,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-15,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-05-16,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-17,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-05-17,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-05-23,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-05-31,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,7000.0,7000.0,2025-01-16,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-02-01,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-02-02,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-02-05,2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-05-08,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-05-09,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-04-11,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-05-11,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-04-12,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-06-12,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-04-13,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-06-13,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-05-13,1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-06-14,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-06-15,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-01-18,5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-04-20,6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-03-20,3
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-03-21,4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6800.0,7000.0,7000.0,2025-03-22,5
