District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-08-02,4
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2025-05-03,5
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2025-04-05,5
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-12-14,5
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-09-19,3
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2025-05-21,2
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-09-25,2
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-10-26,5
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-09-28,5
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,2200.0,2500.0,2500.0,2025-02-23,6
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,2400.0,2600.0,2600.0,2024-10-06,6
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,2400.0,2600.0,2600.0,2024-10-07,0
Dharmapuri,AJattihalli(Farmers Market),Maize,Deshi Red,Local,2800.0,3000.0,3000.0,2025-02-06,3
Erode,Alangeyam,Maize,Other,FAQ,1800.0,1910.0,1850.0,2022-02-04,4
Erode,Alangeyam,Maize,Other,FAQ,1980.0,2062.0,2043.0,2022-02-22,1
Erode,Alangeyam,Maize,Other,FAQ,2012.0,2040.0,2031.0,2023-06-07,2
Erode,Alangeyam,Maize,Other,FAQ,2025.0,2082.0,2056.0,2023-06-23,4
Erode,Alangeyam,Maize,Other,FAQ,2080.0,2150.0,2101.0,2023-10-13,4
Erode,Alangeyam,Maize,Other,FAQ,2252.0,2266.0,2263.0,2024-02-23,4
Erode,Alangeyam,Maize,Other,FAQ,2300.0,2320.0,2305.0,2022-06-01,2
Erode,Alangeyam,Maize,Other,FAQ,2304.0,2328.0,2317.0,2023-09-21,3
Erode,Alangeyam,Maize,Other,FAQ,2305.0,2325.0,2315.0,2024-02-28,2
Erode,Alangeyam,Maize,Other,FAQ,2325.0,2345.0,2335.0,2022-06-14,1
Erode,Alangeyam,Maize,Other,FAQ,2350.0,2400.0,2375.0,2022-08-02,1
Erode,Alangeyam,Maize,Other,FAQ,2352.0,2380.0,2372.0,2022-06-20,0
Erode,Alangeyam,Maize,Other,FAQ,2400.0,2410.0,2405.0,2023-12-18,0
Erode,Alangeyam,Maize,Other,FAQ,2402.0,2426.0,2420.0,2022-04-12,1
Erode,Alangeyam,Maize,Other,FAQ,2403.0,2405.0,2404.0,2024-05-09,3
Erode,Alangeyam,Maize,Other,FAQ,2410.0,2425.0,2420.0,2022-07-22,4
Erode,Alangeyam,Maize,Other,FAQ,2462.0,2466.0,2464.0,2022-09-14,2
Erode,Alangeyam,Maize,Other,FAQ,2480.0,2495.0,2488.0,2024-06-06,3
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1500.0,2000.0,2000.0,2025-03-20,3
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1500.0,2000.0,2000.0,2025-04-26,5
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-10-02,2
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-11-03,6
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2025-01-09,3
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2025-05-12,0
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,1800.0,2000.0,2000.0,2024-12-28,5
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-03-01,5
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2024-08-02,4
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-06-16,0
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-01-18,5
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-06-20,4
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-01-21,1
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-02-24,0
Salem,Ammapet(Farmers Market),Maize,Deshi Red,Local,2000.0,2500.0,2500.0,2025-06-26,3
