District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,FAQ,1980.0,2190.0,2183.0,2023-11-07,1
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-05-22,3
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-05-25,6
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-03-31,0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),BPT,Local,1300.0,1500.0,1400.0,2025-03-14,4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2024-08-05,0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-03-07,4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-02-20,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-20,1
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-22,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-23,4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,2300.0,2500.0,2400.0,2025-06-03,1
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ponni - General,Local,1300.0,1500.0,1400.0,2025-04-21,0
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1000.0,1333.0,1330.0,2022-04-21,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1225.0,1334.0,1330.0,2022-05-10,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1273.0,1333.0,1330.0,2022-03-31,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1292.0,1549.0,1540.0,2022-04-05,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1585.0,1607.0,1596.0,2023-04-20,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1585.0,1607.0,1596.0,2023-04-21,4
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1588.0,1817.0,1710.0,2023-03-14,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,0.0,1601.0,1601.0,2024-01-09,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,933.0,1558.0,1550.0,2022-01-04,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1002.0,1598.0,1590.0,2022-01-25,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1024.0,1586.0,1580.0,2022-02-15,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1033.0,1663.0,1555.0,2022-08-10,2
