District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2780.0,2782.0,2781.0,2020-01-28,1
Salem,Attur,Ragi (Finger Millet),Other,FAQ,1390.0,1420.0,1400.0,2021-02-18,3
Salem,Attur,Ragi (Finger Millet),Other,FAQ,2000.0,2100.0,2050.0,2021-01-19,1
Salem,Attur,Ragi (Finger Millet),Other,FAQ,2000.0,2100.0,2050.0,2020-12-29,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1859.0,1859.0,1859.0,2021-08-11,2
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1869.0,2192.0,2089.0,2021-07-20,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1872.0,1872.0,1872.0,2021-08-13,4
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1889.0,2051.0,1970.0,2021-08-09,0
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,1889.0,2279.0,2112.0,2021-07-19,0
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2041.0,2271.0,2156.0,2021-07-26,0
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2069.0,2229.0,2149.0,2021-08-10,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2179.0,2369.0,2274.0,2019-01-24,3
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2210.0,2319.0,2289.0,2021-07-23,4
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2349.0,2349.0,2349.0,2021-08-03,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2356.0,2501.0,2429.0,2019-05-10,4
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2369.0,2369.0,2369.0,2019-05-23,3
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2389.0,2569.0,2479.0,2019-07-16,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2390.0,2690.0,2540.0,2019-06-12,2
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2509.0,2669.0,2569.0,2019-06-24,0
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2569.0,2569.0,2569.0,2019-08-26,0
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2589.0,2589.0,2589.0,2019-06-11,1
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2689.0,2689.0,2689.0,2019-11-15,4
Villupuram,Avalurpet,Ragi (Finger Millet),Other,FAQ,2769.0,2769.0,2769.0,2019-06-21,4
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1319.0,1319.0,1319.0,2021-08-23,0
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1380.0,1380.0,1380.0,2021-09-27,0
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1401.0,1401.0,1401.0,2021-08-31,1
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1549.0,1549.0,1549.0,2019-12-19,3
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1650.0,1650.0,1650.0,2021-09-07,1
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1699.0,1699.0,1699.0,2020-06-03,2
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1701.0,1701.0,1701.0,2021-04-16,4
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1749.0,1749.0,1749.0,2021-09-02,3
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1787.0,1787.0,1787.0,2019-01-31,3
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,1943.0,1943.0,1943.0,2021-04-12,0
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2001.0,2001.0,2001.0,2019-01-23,2
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2019.0,2019.0,2019.0,2021-07-12,0
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2022.0,2022.0,2022.0,2020-01-28,1
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2049.0,2049.0,2049.0,2021-04-22,3
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2139.0,2139.0,2139.0,2021-08-05,3
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2200.0,2200.0,2200.0,2021-05-05,2
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2213.0,2213.0,2213.0,2021-06-09,2
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2256.0,2256.0,2256.0,2021-06-28,0
Villupuram,Chinnasalem,Ragi (Finger Millet),Other,FAQ,2481.0,2501.0,2495.0,2020-05-07,3
Erode,Chithode,Ragi (Finger Millet),Red,FAQ,3620.0,3905.0,3762.0,2020-08-25,1
Erode,Chithode,Ragi (Finger Millet),Red,FAQ,3630.0,3900.0,3765.0,2020-08-31,0
Erode,Chithode,Ragi (Finger Millet),Red,FAQ,3635.0,3910.0,3772.0,2020-08-26,2
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1460.0,1460.0,1460.0,2021-06-23,2
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1519.0,1519.0,1519.0,2019-01-07,0
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1629.0,1629.0,1629.0,2020-06-19,4
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1679.0,1679.0,1679.0,2021-08-09,0
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1679.0,1679.0,1679.0,2021-11-16,1
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1699.0,2299.0,2299.0,2020-08-13,3
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1734.0,1734.0,1734.0,2021-10-04,0
Cuddalore,Cuddalore,Ragi (Finger Millet),Other,FAQ,1779.0,1779.0,1779.0,2020-10-05,0
