District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Pudukkottai,Alangudi,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,8500.0,9000.0,8750.0,2024-06-28,4
Vellore,Ammoor,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,0.0,11111.0,11111.0,2024-04-22,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,4166.0,14014.0,13889.0,2024-03-05,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,5139.0,12556.0,12511.0,2024-03-15,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,7576.0,16033.0,14249.0,2023-10-30,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,7833.0,12753.0,12249.0,2024-03-25,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,8499.0,13874.0,12625.0,2023-07-24,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,8875.0,13630.0,10625.0,2024-06-04,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9000.0,16666.0,15865.0,2023-09-27,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9014.0,16636.0,13000.0,2023-10-27,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9124.0,14625.0,10625.0,2023-07-21,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9136.0,9136.0,9136.0,2023-08-30,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9389.0,12424.0,12424.0,2024-05-27,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9761.0,13099.0,11586.0,2024-06-06,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9900.0,10000.0,9950.0,2022-10-11,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9900.0,10000.0,9950.0,2022-10-12,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,9999.0,13188.0,12688.0,2024-05-28,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10000.0,10000.0,10000.0,2024-03-27,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10000.0,13124.0,12503.0,2024-05-10,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10011.0,16999.0,12124.0,2023-07-31,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10014.0,13014.0,11264.0,2024-05-07,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10125.0,13100.0,12636.0,2024-05-22,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10139.0,10139.0,10139.0,2023-11-06,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10139.0,12086.0,11013.0,2024-06-10,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10139.0,13415.0,13415.0,2024-04-16,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10250.0,13086.0,12911.0,2024-05-14,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10276.0,17881.0,10276.0,2023-10-06,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10361.0,12711.0,12111.0,2024-06-13,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10374.0,13253.0,13125.0,2024-04-25,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10461.0,12875.0,12021.0,2024-06-07,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10524.0,13086.0,12711.0,2024-05-16,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10600.0,10836.0,10700.0,2023-08-25,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10699.0,13000.0,12500.0,2023-08-17,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10836.0,13044.0,13044.0,2024-05-03,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10836.0,13553.0,12000.0,2024-06-03,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10861.0,13001.0,12586.0,2024-05-06,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,10899.0,12961.0,12361.0,2023-09-11,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11000.0,13315.0,13315.0,2024-04-23,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11076.0,15749.0,13339.0,2023-10-10,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11340.0,12764.0,12761.0,2024-05-31,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11401.0,12188.0,11750.0,2024-03-22,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11486.0,13386.0,12999.0,2024-05-30,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11500.0,13236.0,12475.0,2024-05-24,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11514.0,11899.0,11699.0,2024-03-19,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11514.0,12839.0,12736.0,2024-05-20,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11625.0,13215.0,12963.0,2024-05-23,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,11886.0,12636.0,12636.0,2024-05-17,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12000.0,12638.0,12200.0,2023-09-13,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12000.0,13188.0,12761.0,2024-05-21,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12025.0,12025.0,12025.0,2024-03-20,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12036.0,13374.0,13166.0,2024-04-15,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12083.0,12928.0,12890.0,2024-03-26,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12100.0,12986.0,12645.0,2024-05-15,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12128.0,13586.0,12628.0,2024-04-10,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12128.0,13814.0,12628.0,2024-04-12,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12211.0,13540.0,12986.0,2024-04-30,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12374.0,15624.0,15326.0,2023-07-20,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12461.0,12849.0,12501.0,2024-05-29,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12500.0,12500.0,12500.0,2024-02-01,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12511.0,12511.0,12511.0,2023-10-05,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12514.0,12514.0,12514.0,2024-05-09,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12525.0,12525.0,12525.0,2023-12-15,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12538.0,13188.0,12764.0,2024-03-28,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12586.0,13309.0,12836.0,2024-05-08,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12625.0,15278.0,13750.0,2023-08-08,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12824.0,13601.0,13461.0,2024-04-24,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12849.0,13219.0,13169.0,2024-04-22,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,12890.0,13474.0,13163.0,2024-04-18,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13049.0,13536.0,13536.0,2024-04-17,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13088.0,13088.0,13088.0,2024-03-30,5
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13088.0,13749.0,13711.0,2024-04-04,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13100.0,13576.0,13350.0,2023-08-16,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13124.0,13249.0,13124.0,2023-08-09,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13125.0,13125.0,13125.0,2024-02-27,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13136.0,13136.0,13136.0,2024-04-05,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13264.0,13264.0,13264.0,2023-10-03,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13889.0,13889.0,13889.0,2024-03-12,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,13889.0,14540.0,14540.0,2024-03-07,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,14164.0,16664.0,16664.0,2023-09-29,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,15000.0,17586.0,16500.0,2023-08-21,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,15100.0,15411.0,15230.0,2023-09-01,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,15289.0,15289.0,15289.0,2024-03-09,5
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,15800.0,16961.0,16400.0,2023-08-01,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,16124.0,16124.0,16124.0,2023-10-12,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",95/5,FAQ,16636.0,16636.0,16636.0,2023-10-16,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,7500.0,12518.0,9126.0,2024-07-10,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,8128.0,13524.0,10675.0,2024-07-08,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,9124.0,11875.0,11514.0,2024-06-18,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,9449.0,12764.0,9750.0,2024-07-16,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,9501.0,11711.0,10086.0,2024-06-28,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10086.0,12211.0,10336.0,2024-07-01,0
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10099.0,12625.0,11750.0,2024-06-21,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10131.0,11661.0,11074.0,2024-07-12,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10211.0,12751.0,11511.0,2024-06-19,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10253.0,13146.0,12396.0,2024-06-25,1
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10264.0,10750.0,10411.0,2024-06-27,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10264.0,11666.0,10826.0,2024-07-26,4
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10399.0,12836.0,11861.0,2024-06-20,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10500.0,12563.0,10625.0,2024-06-26,2
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,10811.0,13121.0,12004.0,2024-06-22,5
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,11224.0,13534.0,12899.0,2024-07-04,3
Ariyalur,Andimadom,"Sesamum(Sesame,Gingelly,Til)",Sesame,Local,12563.0,13454.0,12750.0,2024-07-05,4
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,6289.0,8489.0,8489.0,2022-08-30,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,7509.0,10709.0,9109.0,2022-08-09,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8068.0,8069.0,8069.0,2022-01-25,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,8829.0,10619.0,10369.0,2022-05-10,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9169.0,9569.0,9169.0,2022-01-11,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9189.0,11529.0,10759.0,2022-07-12,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9256.0,11249.0,11229.0,2022-01-04,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9269.0,11669.0,10849.0,2022-07-05,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9269.0,13289.0,13289.0,2022-09-13,1
Erode,Anthiyur,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,9289.0,11269.0,10869.0,2022-04-26,1
