Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Andimadom,Bajra(Pearl Millet/Cumbu),Other,Local,2500,2575,2550,9-Apr-25
2,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,2031,2400,2350,27-Sep-22
3,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,2223,4231,3750,16-Nov-22
4,Ariyalur,Ariyalur Market,Bajra(Pearl Millet/Cumbu),Other,FAQ,2417,2551,2450,8-Nov-23
5,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,2175,2175,2175,5-Oct-23
6,Cuddalore,Cuddalore,Bajra(Pearl Millet/Cumbu),Bold,FAQ,4669,4980,4930,12-Oct-22
7,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,1959,2400,2153,16-May-25
8,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,2200,2390,2300,12-May-25
9,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,2412,3020,3010,7-Nov-24
10,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,2419,3031,2419,23-Aug-24
11,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,2609,2880,2780,8-Jan-25
12,Villupuram,Gingee,Bajra(Pearl Millet/Cumbu),Other,Local,2728,3390,3370,1-Aug-24
13,Ariyalur,Jayamkondam,Bajra(Pearl Millet/Cumbu),Bold,Local,3410,3909,3756,30-Jul-24
14,Ariyalur,Jayamkondam,Bajra(Pearl Millet/Cumbu),Other,Local,2480,2622,2510,24-Feb-25
15,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2259,2487,2373,8-Jul-25
16,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2260,2370,2315,28-May-25
17,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2300,2566,2433,10-Feb-25
18,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2319,2448,2384,18-Jun-25
19,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2369,2369,2369,2-Jul-25
20,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2370,2459,2415,15-Jul-25
21,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2599,2816,2708,4-Apr-25
22,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2669,2732,2701,8-Apr-25
23,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2699,2870,2785,29-Apr-25
24,Villupuram,Kallakurichi,Bajra(Pearl Millet/Cumbu),Other,Local,2709,2850,2780,17-Apr-25
25,Namakkal,Namakkal,Bajra(Pearl Millet/Cumbu),Local,Local,2000,2500,2300,5-Jul-24
26,Namakkal,Namakkal,Bajra(Pearl Millet/Cumbu),Other,Local,2300,2500,2400,29-Apr-25
27,Cuddalore,Panruti,Bajra(Pearl Millet/Cumbu),Other,Local,2509,2509,2509,1-Jul-25
28,Cuddalore,Panruti,Bajra(Pearl Millet/Cumbu),Other,Local,2541,2633,2611,12-Feb-25
29,Cuddalore,Panruti,Bajra(Pearl Millet/Cumbu),Other,Local,2550,2639,2639,23-May-25
30,Cuddalore,Panruti,Bajra(Pearl Millet/Cumbu),Other,Local,2571,2571,2571,18-Feb-25
31,Cuddalore,Panruti,Bajra(Pearl Millet/Cumbu),Other,Local,2613,2635,2623,14-Feb-25
