Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2190,2222,2221,14-Aug-23
2,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2191,2246,2245,10-Aug-23
3,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2213,2215,2213,31-Aug-23
4,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6111,6399,6200,20-Mar-23
5,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6150,6666,6300,11-May-23
6,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6800,6500,23-Mar-23
7,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6861,6500,30-May-23
8,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,7251,7000,21-Mar-23
9,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6326,6700,6463,10-Oct-23
10,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6400,6901,6650,05-May-23
11,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6400,7009,6700,04-May-23
12,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6450,6600,6500,04-Sep-23
13,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,6500,6500,27-Sep-23
14,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,6711,6600,21-Apr-23
15,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,6800,6550,24-Mar-23
16,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,7001,6900,20-Apr-23
17,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,7301,6721,10-Apr-23
18,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,7551,7306,05-Apr-23
19,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6537,6737,6727,24-Apr-23
20,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6681,7051,6861,06-Apr-23
21,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6721,7189,6800,13-Apr-23
22,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6721,7416,7000,12-Apr-23
23,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6800,7301,7000,18-Apr-23
24,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6811,7310,7000,31-Mar-23
25,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6889,7150,6900,19-Apr-23
26,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6900,6900,6900,05-Oct-23
27,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6900,7000,6950,25-Aug-23
28,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6900,7071,7000,26-May-23
29,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6901,7101,7000,26-Apr-23
30,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6951,7101,7001,17-Apr-23
31,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7000,7000,15-Mar-23
32,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7261,7100,29-Mar-23
33,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7987,7500,28-Jul-23
34,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7031,7031,7031,14-Sep-23
35,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7100,7100,7100,14-Mar-23
36,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7100,7401,7197,27-Mar-23
37,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7100,7530,7200,28-Mar-23
38,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7111,7111,7111,09-Oct-23
39,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7351,7459,7400,30-Mar-23
40,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7450,7450,7450,15-Sep-23
41,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7500,7729,7650,22-Aug-23
42,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7659,7859,7659,01-Sep-23
43,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7700,7700,7700,17-May-24
44,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7811,9059,9059,07-May-24
45,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7889,7889,7889,03-Oct-23
46,Ariyalur,Andimadom,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,8040,8040,8040,29-Apr-24
