Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,5600,7500,6900,04 Jul 2019
2,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6000,6150,6050,19 Jun 2019
3,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6050,6200,6100,07 Jun 2019
4,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6050,6200,6100,20 Jun 2019
5,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,04 Jun 2019
6,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,06 Jun 2019
7,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,10 Jun 2019
8,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,11 Jun 2019
9,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,17 Jun 2019
10,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6100,6250,6150,18 Jun 2019
11,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,12 Jun 2019
12,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,13 Jun 2019
13,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,14 Jun 2019
14,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6200,6350,6250,24 Jun 2019
15,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6375,6300,31 May 2019
16,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6400,6300,03 Jun 2019
17,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6250,6400,6300,25 Jun 2019
18,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6300,6450,6350,26 Jun 2019
19,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,6600,6750,6650,28 Jun 2019
20,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,7200,7050,29 May 2019
21,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,7200,7050,30 May 2019
22,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9000,8000,03 Jul 2019
23,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9125,8875,14 Aug 2020
24,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9125,8875,19 Aug 2020
25,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9250,9000,13 Aug 2020
26,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9375,9000,17 Aug 2020
27,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9375,9000,22 Aug 2020
28,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,8875,16 Jul 2019
29,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9000,07 Aug 2020
30,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9000,25 Jun 2021
31,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9063,05 Aug 2020
32,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9125,10 Aug 2020
33,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9125,24 Jun 2021
34,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9500,9125,26 Aug 2020
35,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9625,9000,24 Aug 2020
36,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9625,9125,06 Aug 2020
37,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9625,9250,22 Jun 2021
38,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9750,9375,21 Jun 2021
39,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9750,9375,23 Jun 2021
40,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9750,9500,18 Jun 2021
41,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9875,9125,03 Oct 2020
42,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,9875,9500,17 Jun 2021
43,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7000,10000,9375,30 Jun 2021
44,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7100,7250,7150,01 Jul 2019
45,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7210,7624,7350,12 Jun 2023
46,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7250,9875,9375,28 Jun 2021
47,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7250,10000,9250,29 Jun 2021
48,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7250,10125,9500,01 Jul 2021
49,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7250,10125,9500,06 Jul 2021
50,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7300,7500,7350,08 May 2019
51,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7350,7500,7400,29 Apr 2019
52,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7350,7500,7400,30 Apr 2019
53,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7400,7500,7450,08 Nov 2022
54,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7400,8800,8200,05 Jul 2019
55,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,7700,7550,10 May 2019
56,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,7700,7550,27 May 2019
57,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,7700,7550,28 May 2019
58,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,7750,7600,09 May 2019
59,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,8750,8100,02 Jul 2019
60,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7500,10125,9500,02 Jul 2021
61,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7600,7850,7700,16 May 2019
62,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7600,9875,9500,12 Jan 2023
63,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7600,9875,9750,19 Jan 2023
64,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7600,10000,9875,05 Jan 2023
65,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7600,10000,9875,22 Dec 2022
66,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9500,9000,27 Aug 2020
67,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9500,9125,20 Aug 2020
68,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9500,9250,29 Aug 2020
69,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9625,9250,04 Aug 2020
70,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9625,9250,30 Jul 2020
71,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9625,9250,31 Aug 2020
72,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9125,15 Sep 2020
73,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9125,25 Aug 2020
74,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9250,09 Sep 2020
75,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9375,24 Jul 2020
76,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9375,25 Jul 2020
77,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9375,29 Jul 2020
78,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9500,21 Jul 2020
79,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9750,9500,28 Jul 2020
80,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9000,10 Sep 2020
81,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9125,06 Oct 2020
82,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9125,09 Oct 2020
83,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9125,29 Sep 2020
84,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9500,23 Jul 2020
85,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,9875,9500,27 Jul 2020
86,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10000,9250,07 Oct 2020
87,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10000,9250,19 Oct 2020
88,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10000,9250,30 Sep 2020
89,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10000,9375,24 Oct 2020
90,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10000,9500,27 Oct 2020
91,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10125,9375,23 Oct 2020
92,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10125,9625,05 Jul 2021
93,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10250,9375,22 Oct 2020
94,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10250,9500,13 Jul 2021
95,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10250,9625,07 Jul 2021
96,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10250,9875,01 Jun 2021
97,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10375,9375,09 Jul 2021
98,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10375,9625,12 Jul 2021
99,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10375,9875,24 May 2021
100,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10500,9500,13 Nov 2020
101,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10625,9500,18 Nov 2020
102,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10625,9625,17 Jul 2021
103,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10625,10000,21 May 2021
104,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,10750,9500,20 Nov 2020
105,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,11125,9500,17 Oct 2020
106,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7700,11125,9875,19 May 2021
107,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,8750,8625,02 Aug 2019
108,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,8750,8625,26 Aug 2019
109,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,8875,8625,27 Aug 2019
110,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9375,9000,21 Aug 2020
111,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9625,9125,28 Aug 2020
112,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9125,11 Sep 2020
113,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9250,15 Jul 2020
114,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9250,17 Jul 2020
115,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9375,13 Jul 2020
116,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9375,14 Jul 2020
117,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9750,9375,31 Jul 2020
118,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9751,8206,18 Oct 2023
119,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9875,9375,11 Jul 2020
120,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9875,9375,16 Jul 2020
121,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,9875,9500,06 Jul 2020
122,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10000,9500,03 Jul 2020
123,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10125,9625,08 Jul 2021
124,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10250,9875,03 Jun 2021
125,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10250,10000,11 Jun 2021
126,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10375,10000,16 Jun 2021
127,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10375,10000,26 May 2021
128,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10500,9625,15 Jul 2021
129,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10500,9750,16 Jul 2021
130,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10500,10000,25 May 2021
131,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10625,9500,19 Nov 2020
132,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10625,9625,19 Jul 2021
133,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,10750,9875,20 May 2021
134,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7750,11250,9875,17 May 2021
135,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7790,7790,7790,10 Oct 2023
136,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7800,8249,7900,20 Jun 2023
137,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7825,7825,7825,05 Oct 2023
138,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7900,8500,8200,19 Jun 2023
139,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7900,8503,8100,26 Jun 2023
140,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7950,8499,8200,15 May 2023
141,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,7969,7969,7969,27 Oct 2023
142,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,8000,8199,8100,12 Sep 2023
143,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,8000,8250,8100,13 May 2019
144,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,8000,8250,8100,14 May 2019
145,Ariyalur,Andimadom,Cashewnuts,Other,FAQ,8000,8250,8100,17 May 2019
