Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Alangeyam,Coconut,Coconut,FAQ,1250,2250,1400,11-Aug-17
2,Erode,Alangeyam,Coconut,Coconut,FAQ,1760,2200,1940,16-Jul-18
3,Erode,Alangeyam,Coconut,Coconut,FAQ,1760,2200,1960,25-Jun-18
4,Coimbatore,Anaimalai,Coconut,Other,FAQ,600,2000,1800,10-Sep-15
5,Coimbatore,Anaimalai,Coconut,Other,FAQ,600,2200,1800,18-Jul-15
6,Coimbatore,Anaimalai,Coconut,Other,FAQ,600,2200,1800,21-Jul-15
7,Coimbatore,Anaimalai,Coconut,Other,FAQ,600,2200,1800,22-Jul-15
8,Coimbatore,Anaimalai,Coconut,Other,FAQ,640,1430,1200,14-Jul-15
9,Coimbatore,Anaimalai,Coconut,Other,FAQ,640,1430,1200,15-Jul-15
10,Coimbatore,Anaimalai,Coconut,Other,FAQ,640,2180,1780,06-Aug-15
11,Coimbatore,Anaimalai,Coconut,Other,FAQ,640,2180,1780,13-Aug-15
12,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1450,1300,09-Jul-15
13,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1450,1300,10-Jul-15
14,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1450,1300,11-Jul-15
15,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1800,1200,29-Jul-15
16,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1800,1400,25-Jul-15
17,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,1900,1600,31-Oct-15
18,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2000,1700,20-Aug-15
19,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2000,1750,22-Aug-15
20,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2000,1800,31-Jul-15
21,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2200,1800,05-Aug-15
22,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2200,1800,07-Aug-15
23,Coimbatore,Anaimalai,Coconut,Other,FAQ,650,2220,1810,18-Aug-15
24,Coimbatore,Anaimalai,Coconut,Other,FAQ,660,1480,1230,23-Jul-15
25,Coimbatore,Anaimalai,Coconut,Other,FAQ,660,1480,1230,24-Jul-15
26,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1400,1400,04-Jul-15
27,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1600,1500,17-Dec-15
28,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1700,1500,05-Nov-15
29,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1800,1200,05-Jul-15
30,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1800,1500,03-Nov-15
31,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1800,1600,01-Nov-15
32,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1800,1650,08-Nov-15
33,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1800,1650,09-Nov-15
34,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1600,04-Nov-15
35,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1600,06-Nov-15
36,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1700,07-Nov-15
37,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1700,13-Nov-15
38,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1700,14-Nov-15
39,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,1900,1800,19-Nov-15
40,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1600,07-Jul-15
41,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1700,16-Sep-15
42,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1700,22-Sep-15
43,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1700,23-Sep-15
44,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1700,24-Sep-15
45,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1700,26-Sep-15
46,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1800,11-Sep-15
47,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1800,12-Sep-15
48,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2000,1800,19-Sep-15
49,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2200,1800,01-Aug-15
50,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2200,1800,30-Jul-15
51,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2200,2000,08-Jul-15
52,Coimbatore,Anaimalai,Coconut,Other,FAQ,700,2400,1700,28-Jul-15
53,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,1800,1600,15-Dec-15
54,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,1900,1700,15-Oct-15
55,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,1950,1700,21-Nov-15
56,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1700,01-Sep-15
57,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1700,14-Oct-15
58,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1700,23-Aug-15
59,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1700,25-Aug-15
60,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1700,26-Aug-15
61,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1750,17-Oct-15
62,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,15-Sep-15
63,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,16-Oct-15
64,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,18-Nov-15
65,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,28-Oct-15
66,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,29-Oct-15
67,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1800,30-Oct-15
68,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2000,1850,20-Nov-15
69,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1700,02-Sep-15
70,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,09-Sep-15
71,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,11-Aug-15
72,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,12-Aug-15
73,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,14-Aug-15
74,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,19-Aug-15
75,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,27-Aug-15
76,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,28-Aug-15
77,Coimbatore,Anaimalai,Coconut,Other,FAQ,750,2200,1800,29-Aug-15
78,Coimbatore,Anaimalai,Coconut,Other,FAQ,760,2220,1820,03-Sep-15
79,Coimbatore,Anaimalai,Coconut,Other,FAQ,770,2230,1820,04-Sep-15
80,Coimbatore,Anaimalai,Coconut,Other,FAQ,770,2230,1820,05-Sep-15
81,Coimbatore,Anaimalai,Coconut,Other,FAQ,770,2230,1820,06-Sep-15
82,Coimbatore,Anaimalai,Coconut,Other,FAQ,800,2000,1800,09-Oct-15
83,Coimbatore,Anaimalai,Coconut,Other,FAQ,800,2000,1800,20-Oct-15
84,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,02-Apr-16
85,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,03-Apr-16
86,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,04-Apr-16
87,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,21-Mar-16
88,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,22-Mar-16
89,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,23-Mar-16
90,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,24-Mar-16
91,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,26-Mar-16
92,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,27-Mar-16
93,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,28-Mar-16
94,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,29-Mar-16
95,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,1200,1100,31-Mar-16
96,Coimbatore,Anaimalai,Coconut,Other,FAQ,850,2000,1700,11-Oct-15
