Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Coimbatore,Annur,Cotton,Other,FAQ,3500,4500,3750.0,29 Nov 2017
2,Coimbatore,Annur,Cotton,Other,FAQ,4660,4925,4800.0,03 Jan 2018
3,Coimbatore,Annur,Cotton,RCH-2,FAQ,4400,4600,4500.0,19 Mar 2019
4,Coimbatore,Annur,Cotton,RCH-2,FAQ,4500,4800,4600.0,28 Jan 2019
5,Coimbatore,Annur,Cotton,RCH-2,FAQ,4700,4970,4800.0,02 Mar 2019
6,Coimbatore,Annur,Cotton,RCH-2,FAQ,5000,5300,5100.0,24 Jul 2019
7,Coimbatore,Annur,Cotton,RCH-2,FAQ,5000,5400,5200.0,12 Jun 2019
8,Coimbatore,Annur,Cotton,RCH-2,FAQ,8300,8550,8500.0,13 Jul 2022
9,Erode,Anthiyur,Cotton,Other,FAQ,3719,5069,4429.0,18 Sep 2017
10,Erode,Anthiyur,Cotton,Other,FAQ,4006,5306,4766.0,05 Apr 2018
11,Erode,Anthiyur,Cotton,Other,FAQ,4211,4849,4579.0,07 Apr 2016
12,Erode,Anthiyur,Cotton,Other,FAQ,4519,5089,4929.0,28 Aug 2017
13,Erode,Anthiyur,Cotton,Other,FAQ,4589,5302,4869.0,22 Oct 2019
14,Erode,Anthiyur,Cotton,Other,FAQ,4751,5561,5351.0,05 Feb 2020
15,Erode,Anthiyur,Cotton,Other,FAQ,5459,6389,6011.0,23 Feb 2017
16,Erode,Anthiyur,Cotton,Other,FAQ,5561,6817,6119.0,19 Sep 2016
17,Erode,Anthiyur,Cotton,Other,FAQ,6050,6716,6469.0,27 Jun 2023
18,Erode,Anthiyur,Cotton,Other,FAQ,6369,6729,6619.0,21 Nov 2023
19,Erode,Anthiyur,Cotton,Other,FAQ,6369,6869,6729.0,24 Jan 2024
20,Erode,Anthiyur,Cotton,Other,FAQ,6719,10159,8639.0,29 Jun 2022
21,Erode,Anthiyur,Cotton,Other,FAQ,6729,7229,7059.0,26 Sep 2023
22,Erode,Anthiyur,Cotton,Other,FAQ,6979,7389,7271.0,05 Sep 2023
23,Erode,Anthiyur,Cotton,Other,FAQ,7209,8021,7679.0,21 Sep 2021
24,Erode,Anthiyur,Cotton,Other,FAQ,7269,7542,7439.0,08 May 2024
