Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,11500,12000,12000,01 Mar 2025
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,12500,13000,13000,05 May 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,12500,13000,13000,06 May 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,13000,13600,13600,16 Apr 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,19500,20000,20000,09 Feb 2025
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,25000,26000,26000,16 Jul 2024
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,25000,26000,26000,24 Jul 2024
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,32000,33000,33000,14 Jan 2025
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,32000,34000,34000,27 Aug 2024
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,34500,35400,35400,02 Sep 2024
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,35000,35500,35500,27 Dec 2024
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,35000,35800,35800,15 Oct 2024
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,35000,36000,36000,22 Dec 2024
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,36000,36200,36200,27 Sep 2024
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,36000,36500,36500,18 Sep 2024
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,36000,36800,36800,19 Oct 2024
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,36500,37000,37000,13 Nov 2024
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Garlic,Average,Local,37000,37800,37800,21 Oct 2024
19,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,12000,12000,12000,06 Jun 2025
20,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,12000,12000,12000,12 Jun 2025
21,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,12000,12000,12000,29 Jun 2025
22,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,14000,14000,14000,08 Jul 2025
23,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,14000,14000,14000,18 Jul 2025
24,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,14000,14000,14000,21 Jul 2025
25,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,15000,15000,15000,01 Mar 2025
26,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,15000,15000,15000,03 Apr 2025
27,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,15000,15000,15000,23 Mar 2025
28,Thiruvellore,Ambattur(Uzhavar Sandhai ),Garlic,Average,Local,15000,15000,15000,26 Mar 2025
29,Salem,Ammapet(Uzhavar Sandhai ),Garlic,Average,Local,9000,10000,10000,18 Mar 2025
30,Salem,Ammapet(Uzhavar Sandhai ),Garlic,Average,Local,9000,10000,10000,23 Mar 2025
31,Salem,Ammapet(Uzhavar Sandhai ),Garlic,Average,Local,10000,12000,12000,04 Apr 2025
32,Salem,Ammapet(Uzhavar Sandhai ),Garlic,Average,Local,11000,12000,12000,03 May 2025
33,Salem,Ammapet(Uzhavar Sandhai ),Garlic,Average,Local,12000,14000,14000,24 Feb 2025
34,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,03 May 2025
35,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,05 Apr 2025
36,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,11 May 2025
37,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,23 Apr 2025
38,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,23 Mar 2025
39,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,29 Apr 2025
40,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,16000,18000,18000,30 Mar 2025
41,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,20000,30000,30000,25 Jul 2024
42,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,20000,34000,34000,16 Aug 2024
43,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,20000,34000,34000,17 Aug 2024
44,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,25000,28000,28000,02 Mar 2025
45,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,27000,30000,30000,26 Jan 2025
46,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,38000,38000,05 Dec 2024
47,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,38000,38000,21 Nov 2024
48,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,40000,40000,02 Oct 2024
49,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,40000,40000,04 Oct 2024
50,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,40000,40000,06 Nov 2024
51,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,40000,40000,10 Oct 2024
52,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,28000,40000,40000,20 Oct 2024
53,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,30000,32000,32000,09 Feb 2025
54,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,36000,40000,40000,19 Dec 2024
55,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Average,Local,36000,40000,40000,22 Dec 2024
56,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,10000,16000,16000,04 May 2025
57,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,10000,18000,18000,25 Jun 2025
58,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,18000,23000,23000,03 Apr 2025
59,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,20000,23000,23000,01 Apr 2025
60,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,24000,26000,26000,11 Mar 2025
61,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,24000,26000,26000,12 Mar 2025
62,Theni,Andipatti(Uzhavar Sandhai ),Garlic,Average,Local,28000,30000,30000,20 Jan 2025
63,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,16000,16000,16 Jun 2025
64,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,24000,24000,01 Jul 2025
65,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,24000,24000,10 Jul 2025
66,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,24000,24000,11 Apr 2025
67,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,24000,24000,23 Mar 2025
68,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,14000,24000,24000,30 Jun 2025
69,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,20000,25000,25000,26 Feb 2025
70,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,24000,24000,24000,07 Jun 2025
71,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,26000,30000,30000,23 Feb 2025
72,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,27000,30000,30000,25 Jul 2024
73,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,28000,30000,30000,24 Feb 2025
74,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,28000,32000,32000,16 Aug 2024
75,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,28000,32000,32000,20 Aug 2024
76,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,30000,36000,36000,20 Sep 2024
77,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,32000,35000,35000,01 Feb 2025
78,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,32000,42000,42000,29 Aug 2024
79,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,35000,35000,35000,23 Dec 2024
80,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,35000,40000,40000,13 Oct 2024
81,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,35000,40000,40000,15 Dec 2024
82,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,35000,40000,40000,15 Nov 2024
83,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,36000,36000,36000,16 Oct 2024
84,Madurai,Anna nagar(Uzhavar Sandhai ),Garlic,Average,Local,38000,38000,38000,30 Oct 2024
85,Thiruvannamalai,Arani,Garlic,Average,Local,200,240,240,23 Jun 2024
86,Thiruvannamalai,Arani,Garlic,Average,Local,240,300,300,18 Jun 2024
87,Thiruvannamalai,Arani,Garlic,Average,Local,250,300,300,22 Jun 2024
88,Thiruvannamalai,Arani,Garlic,Average,Local,250,300,300,27 Jun 2024
89,Thiruvannamalai,Arani,Garlic,Average,Local,25000,30000,30000,15 Jul 2024
