Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4269,5406,4837,17 Dec 2018
2,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5217,5407,5217,07 Jan 2019
3,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5222,7069,6769,18 Feb 2019
4,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5429,6419,5429,06 Mar 2018
5,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5575,9619,9565,08 Mar 2022
6,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6169,10057,10050,24 Jan 2023
7,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6829,8560,6829,07 Mar 2023
8,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8075,9195,8615,01 Feb 2022
9,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8269,10229,10096,31 Jan 2023
10,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8628,8629,8629,21 Nov 2023
11,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9110,9659,9375,08 Feb 2022
12,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9250,9702,9475,15 Feb 2022
13,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9570,9766,9570,01 Mar 2022
14,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10125,10269,10195,21 Feb 2023
15,Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10249,10249,10249,28 Feb 2023
16,Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3698,4009,3898,29 Sep 2022
17,Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4098,5529,4939,30 Sep 2022
18,Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4542,5379,4998,28 Sep 2022
19,Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5017,5017,5017,23 Sep 2022
20,Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5398,5398,5398,27 Sep 2022
