Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,30 Sep 2024
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4800.0,5000.0,5000.0,05 Oct 2024
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,27 Sep 2024
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5200.0,5500.0,5500.0,01 Feb 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5800.0,6000.0,6000.0,15 Mar 2025
6,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,01 Apr 2025
7,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,02 Apr 2025
8,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,15 Nov 2024
9,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,16 Oct 2024
10,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,03 Feb 2025
11,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,07 Dec 2024
12,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,07 Feb 2025
13,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,11 Mar 2025
14,Salem,Ammapet(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,18 Feb 2025
