Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2000,2500,2200,13 Oct 2021
2,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2800,3000,2900,03 Dec 2021
3,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,3000,3500,3250,30 Mar 2021
4,Coimbatore,Pethappampatti,Jowar(Sorghum),Jowar (Yellow),FAQ,1700,2500,2100,25 Jan 2019
5,Salem,Salem,Jowar(Sorghum),Other,FAQ,2000,2300,2100,30 Dec 2020
6,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2450,2700,2550,09 Jan 2019
7,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2450,3050,2850,02 May 2019
8,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,3300,3200,03 Oct 2019
9,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,06 Oct 2021
10,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,06 Sep 2021
11,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,09 Nov 2021
12,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,28 Sep 2020
13,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3100,4100,3600,23 Jun 2021
14,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,4000,5000,4500,15 Dec 2021
15,Dindigul,Vedachandur,Jowar(Sorghum),Annigeri,FAQ,2430,2460,2450,28 Mar 2019
16,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2020,2020,2020,20 Jun 2019
17,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2200,3330,3300,06 Oct 2020
18,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2950,2950,2950,06 Jan 2021
19,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3589,3891,3800,21 May 2019
20,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1700,1800,1750,27 Feb 2021
21,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1750,1800,1770,10 Jun 2021
22,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,4200,4500,4300,22 Jan 2019
23,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,4155,4555,4235,04 Mar 2019
24,Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2500,2700,2600,08 Feb 2019
25,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,01 Sep 2021
26,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,11 Nov 2020
27,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,12 Oct 2020
28,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,15 Oct 2020
29,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,22 Jul 2021
30,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,23 Sep 2021
31,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,28 Apr 2021
32,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,04 Mar 2021
33,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,05 May 2021
34,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1516,1568,1568,07 Dec 2020
35,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1520,1540,1530,02 Jan 2019
36,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2350,2350,2350,22 Nov 2021
37,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2650,2650,2650,04 Jan 2021
38,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2820,2820,2820,25 Jun 2020
39,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3640,3640,3640,20 Jul 2021
40,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1750,1800,1770,08 Mar 2021
41,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2300,2500,2450,11 Feb 2021
42,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,1600,1750,1650,23 Sep 2021
43,Coimbatore,Pethappampatti,Jowar(Sorghum),Jowar ( White),FAQ,2000,2500,2430,22 Sep 2021
44,Salem,Salem,Jowar(Sorghum),Other,FAQ,2100,2460,2270,16 Dec 2020
45,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1450,1500,1475,15 Dec 2020
46,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1700,1800,1750,08 Oct 2021
47,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2800,19 Jun 2019
48,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,10 Apr 2019
49,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,02 Nov 2020
50,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,03 Feb 2021
51,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,16 Oct 2020
52,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,03 May 2021
53,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,17 Mar 2021
54,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1500,2900,2700,17 Nov 2021
55,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2121,3333,3000,09 Nov 2020
56,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2222,3000,3000,02 Nov 2020
57,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2243,2243,2243,21 Jun 2021
58,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,4391,4391,4391,08 Aug 2019
59,Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,1900,2000,1950,11 Jan 2019
60,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1700,1800,1750,26 Apr 2021
61,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2800,2600,02 Mar 2021
62,Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2500,2700,2600,12 Feb 2019
63,Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2500,2700,2600,14 Feb 2019
64,Salem,Salem,Jowar(Sorghum),Other,FAQ,2000,2230,2150,02 Feb 2021
65,Salem,Salem,Jowar(Sorghum),Other,FAQ,2100,2430,2240,27 Nov 2020
66,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1700,1750,1725,18 Oct 2021
67,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2450,3050,2850,25 Apr 2019
68,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,03 Dec 2020
69,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,08 Oct 2020
70,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3100,4100,3600,10 Feb 2021
71,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,4000,5500,5000,17 Jun 2021
72,Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2400,3200,2800,06 Mar 2019
73,Namakkal,Tiruchengode,Jowar(Sorghum),Other,FAQ,2800,4000,3550,06 Jul 2021
74,Madurai,Usilampatty,Jowar(Sorghum),Local,FAQ,3000,3100,3050,12 Jan 2019
75,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,969,4689,4689,15 Mar 2019
76,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1500,2050,1800,18 Feb 2020
77,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1799,1800,1800,11 Jan 2019
78,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1833,1833,1833,12 Aug 2021
79,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2300,2300,2300,06 Nov 2020
80,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2750,2750,2750,05 Dec 2019
81,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,4739,4739,4739,28 Feb 2019
82,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2800,2900,2850,22 Dec 2021
83,Coimbatore,Annur,Jowar(Sorghum),Other,FAQ,1800,2500,2000,24 Jan 2019
84,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,3820,4125,4015,12 Nov 2020
85,Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,3835,4100,3970,23 Nov 2020
86,Salem,Salem,Jowar(Sorghum),Other,FAQ,2200,2500,2400,24 Dec 2020
87,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1700,1800,1750,12 Oct 2021
88,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2300,3000,2700,27 Feb 2019
89,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,14 Jun 2019
90,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2450,3050,2850,22 May 2019
91,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2500,3500,3000,03 Sep 2021
92,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,27 Oct 2021
93,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,28 Jul 2021
94,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3500,4500,4000,03 Mar 2021
95,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,4000,5000,4500,08 Dec 2021
96,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1050,1050,1050,02 May 2019
