Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,02 Aug 2024
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,03 May 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,05 Apr 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,14 Dec 2024
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,19 Sep 2024
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,21 May 2025
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,25 Sep 2024
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,26 Oct 2024
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,28 Sep 2024
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,2200,2500,2500.0,23 Feb 2025
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2600,2600.0,06 Oct 2024
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,2400,2600,2600.0,07 Oct 2024
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,2800,3000,3000.0,06 Feb 2025
14,Erode,Alangeyam,Maize,Other,FAQ,1800,1910,1850.0,04 Feb 2022
15,Erode,Alangeyam,Maize,Other,FAQ,1980,2062,2043.0,22 Feb 2022
16,Erode,Alangeyam,Maize,Other,FAQ,2012,2040,2031.0,07 Jun 2023
17,Erode,Alangeyam,Maize,Other,FAQ,2025,2082,2056.0,23 Jun 2023
18,Erode,Alangeyam,Maize,Other,FAQ,2080,2150,2101.0,13 Oct 2023
19,Erode,Alangeyam,Maize,Other,FAQ,2252,2266,2263.0,23 Feb 2024
20,Erode,Alangeyam,Maize,Other,FAQ,2300,2320,2305.0,01 Jun 2022
21,Erode,Alangeyam,Maize,Other,FAQ,2304,2328,2317.0,21 Sep 2023
22,Erode,Alangeyam,Maize,Other,FAQ,2305,2325,2315.0,28 Feb 2024
23,Erode,Alangeyam,Maize,Other,FAQ,2325,2345,2335.0,14 Jun 2022
24,Erode,Alangeyam,Maize,Other,FAQ,2350,2400,2375.0,02 Aug 2022
25,Erode,Alangeyam,Maize,Other,FAQ,2352,2380,2372.0,20 Jun 2022
26,Erode,Alangeyam,Maize,Other,FAQ,2400,2410,2405.0,18 Dec 2023
27,Erode,Alangeyam,Maize,Other,FAQ,2402,2426,2420.0,12 Apr 2022
28,Erode,Alangeyam,Maize,Other,FAQ,2403,2405,2404.0,09 May 2024
29,Erode,Alangeyam,Maize,Other,FAQ,2410,2425,2420.0,22 Jul 2022
30,Erode,Alangeyam,Maize,Other,FAQ,2462,2466,2464.0,14 Sep 2022
31,Erode,Alangeyam,Maize,Other,FAQ,2480,2495,2488.0,06 Jun 2024
32,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1500,2000,2000.0,20 Mar 2025
33,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1500,2000,2000.0,26 Apr 2025
34,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,02 Oct 2024
35,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,03 Nov 2024
36,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,09 Jan 2025
37,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,12 May 2025
38,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,28 Dec 2024
39,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,01 Mar 2025
40,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,02 Aug 2024
41,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,16 Jun 2025
42,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,18 Jan 2025
43,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,20 Jun 2025
44,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,21 Jan 2025
45,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,24 Feb 2025
46,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,26 Jun 2025
47,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,29 Jun 2025
48,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2000,2500,2500.0,29 May 2025
49,Salem,Ammapet(Uzhavar Sandhai ),Maize,Deshi Red,Local,2200,2500,2500.0,27 Aug 2024
50,Madurai,Anaiyur(Uzhavar Sandhai ),Maize,Deshi Red,Local,1600,2400,2400.0,03 May 2025
51,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1500,2000,2000.0,11 Nov 2024
52,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1500,2000,2000.0,12 May 2025
53,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1500,2000,2000.0,21 Oct 2024
54,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,15 Nov 2024
55,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,26 Jun 2025
56,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,28 Jun 2025
57,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Maize,Deshi Red,Local,1800,2000,2000.0,28 May 2025
58,Erode,Alangeyam,Maize,Other,FAQ,2000,2230,2100.0,18 Nov 2022
59,Erode,Alangeyam,Maize,Other,FAQ,2080,2265,2233.0,05 Feb 2024
60,Erode,Alangeyam,Maize,Other,FAQ,2081,2102,2100.0,25 Feb 2022
61,Erode,Alangeyam,Maize,Other,FAQ,2100,2250,2150.0,19 Dec 2022
62,Erode,Alangeyam,Maize,Other,FAQ,2171,2225,2220.0,11 Apr 2023
63,Erode,Alangeyam,Maize,Other,FAQ,2180,2256,2225.0,10 Jul 2023
64,Erode,Alangeyam,Maize,Other,FAQ,2225,2261,2241.0,06 Oct 2022
65,Erode,Alangeyam,Maize,Other,FAQ,2238,2247,2242.0,27 Mar 2023
66,Erode,Alangeyam,Maize,Other,FAQ,2250,2252,2251.0,15 Mar 2024
67,Erode,Alangeyam,Maize,Other,FAQ,2261,2289,2275.0,21 Aug 2023
68,Erode,Alangeyam,Maize,Other,FAQ,2270,2337,2312.0,22 Mar 2024
69,Erode,Alangeyam,Maize,Other,FAQ,2272,2325,2282.0,29 Sep 2023
70,Erode,Alangeyam,Maize,Other,FAQ,2277,2286,2281.0,30 Dec 2022
71,Erode,Alangeyam,Maize,Other,FAQ,2291,2302,2295.0,08 Jun 2022
72,Erode,Alangeyam,Maize,Other,FAQ,2300,2355,2340.0,17 Mar 2022
73,Erode,Alangeyam,Maize,Other,FAQ,2370,2383,2382.0,02 Apr 2024
74,Erode,Alangeyam,Maize,Other,FAQ,2377,2411,2392.0,09 Sep 2023
75,Erode,Alangeyam,Maize,Other,FAQ,2391,2393,2392.0,17 Apr 2024
76,Erode,Alangeyam,Maize,Other,FAQ,2400,2420,2410.0,11 Jan 2024
77,Erode,Alangeyam,Maize,Other,FAQ,2400,2542,2510.0,11 Aug 2022
78,Erode,Alangeyam,Maize,Other,FAQ,2406,2410,2408.0,03 Nov 2023
79,Erode,Alangeyam,Maize,Other,FAQ,2415,2505,2450.0,25 Apr 2022
