Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3000,3500,3500,08 Jun 2025
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,03 Jul 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,05 Jul 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,07 Jun 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,12 Jul 2025
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,13 Jun 2025
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,14 Jun 2025
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,18 Jul 2025
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,19 Jul 2025
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,19 Jun 2025
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,21 Jul 2025
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,21 Jun 2025
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,22 Jun 2025
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3500,4000,4000,26 Jun 2025
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,3800,4000,4000,17 Jul 2025
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,10 Jul 2025
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,11 Jul 2025
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,16 Jul 2025
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,17 May 2025
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,18 May 2025
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,19 May 2025
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,20 May 2025
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,22 May 2025
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,23 May 2025
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,28 May 2025
26,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4000,4500,4500,29 May 2025
27,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4200,4500,4500,13 Jul 2025
28,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,4800,4800,24 May 2025
29,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,01 Jul 2025
30,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,04 Jul 2025
31,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,07 Jul 2025
32,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,08 Jul 2025
33,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,09 Jul 2025
34,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,09 Jun 2025
35,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,15 May 2025
36,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,16 Jun 2025
37,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,16 May 2025
38,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,17 Jun 2025
39,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango,Safeda,Local,4500,5000,5000,23 Jun 2025
