Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2000,2500,2500,07 Aug 2024
2,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2000,2500,2500,27 Nov 2024
3,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2000,3000,3000,20 Jul 2024
4,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2000,3000,3000,22 Jul 2024
5,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,01 Aug 2024
6,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,01 Jan 2025
7,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,01 Mar 2025
8,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,02 Aug 2024
9,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,02 Dec 2024
10,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,02 Feb 2025
11,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,02 Sep 2024
12,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,03 Jan 2025
13,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,03 Sep 2024
14,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,04 Dec 2024
15,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,04 Jan 2025
16,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,04 Sep 2024
17,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,05 Feb 2025
18,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,05 Jan 2025
19,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,05 Mar 2025
20,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,05 Sep 2024
21,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,06 Dec 2024
22,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,06 Feb 2025
23,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,06 Jan 2025
24,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,06 Mar 2025
25,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,06 Sep 2024
26,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,07 Dec 2024
27,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,07 Feb 2025
28,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,08 Dec 2024
29,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,08 Feb 2025
30,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,08 Jan 2025
31,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,08 Sep 2024
32,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,09 Aug 2024
33,Salem,Ammapet(Uzhavar Sandhai ),Mousambi(Sweet Lime),Mousambi,Local,2500,3000,3000,09 Dec 2024
