Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Vellore,Ammoor,Ragi (Finger Millet),Other,FAQ,0,3529,3529,25-Mar-24
2,Vellore,Ammoor,Ragi (Finger Millet),Other,FAQ,3400,3559,3480,6-Mar-24
3,Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0,2720,2720,14-Jul-23
4,Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0,2840,2840,13-Jul-23
5,Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0,2900,2900,11-Jul-23
6,Vellore,Ammoor,Ragi (Finger Millet),Red,FAQ,0,3629,3629,14-Nov-23
7,Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,2600,2600,2600,2-Mar-24
8,Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,3846,3846,3846,21-Nov-23
9,Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,3869,3869,3869,13-Oct-23
10,Ariyalur,Andimadom,Ragi (Finger Millet),Other,FAQ,4001,4001,4001,3-Jun-24
11,Ariyalur,Andimadom,Ragi (Finger Millet),Other,Local,2610,2635,2630,21-Apr-25
12,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,2648,2649,2649,19-Sep-23
13,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3100,3200,3200,20-Dec-22
14,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3190,3410,3390,27-Oct-22
15,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3200,3500,3300,2-Nov-22
16,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3200,3600,3400,29-Sep-22
17,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400,3700,3550,21-Apr-22
18,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400,3700,3550,21-Jun-22
19,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3400,3700,3569,15-Mar-22
20,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3440,3770,3605,24-Mar-22
21,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3500,3700,3600,5-Jul-22
22,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3500,3800,3650,23-Feb-22
23,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3600,3900,3800,17-Mar-22
24,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3610,3700,3650,30-Aug-22
25,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3610,3800,3723,21-Jul-22
26,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3665,3900,3799,11-Feb-22
27,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3700,4000,3800,16-Mar-22
28,Erode,Anthiyur,Ragi (Finger Millet),Other,FAQ,3700,4000,3860,8-Feb-22
29,Ariyalur,Ariyalur Market,Ragi (Finger Millet),Feeds (Poultry Quality),FAQ,1300,1401,1350,11-Apr-22
30,Ariyalur,Ariyalur Market,Ragi (Finger Millet),Feeds (Poultry Quality),FAQ,1984,2011,2005,25-Feb-22
31,Ariyalur,Ariyalur Market,Ragi (Finger Millet),Other,Local,2200,2401,2301,17-Mar-25
32,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,1800,2000,1900,23-Jan-23
33,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,2750,3400,3200,23-Aug-22
34,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,2750,3500,3250,15-Sep-22
35,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,2750,3500,3300,27-Sep-22
36,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,2800,3500,3250,7-Feb-23
37,Erode,Bhavani,Ragi (Finger Millet),Other,FAQ,2800,3600,3500,28-Dec-22
