Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Anthiyur,Red Gram,Other,FAQ,3619,5229,4519,23-Mar-15
2,Erode,Anthiyur,Red Gram,Other,FAQ,3789,4616,4466,30-Mar-15
3,Erode,Anthiyur,Red Gram,Other,FAQ,4596,5049,4859,26-Jan-15
4,Erode,Anthiyur,Red Gram,Other,FAQ,4716,5689,5369,16-Mar-15
5,Erode,Anthiyur,Red Gram,Other,FAQ,4866,5369,5119,2-Feb-15
6,Erode,Anthiyur,Red Gram,Other,FAQ,4909,5389,5266,9-Feb-15
7,Erode,Anthiyur,Red Gram,Other,FAQ,5149,5750,5419,16-Feb-15
8,Erode,Anthiyur,Red Gram,Other,FAQ,5579,5950,5819,9-Mar-15
9,Erode,Anthiyur,Red Gram,Other,FAQ,5801,6210,6119,2-Mar-15
10,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2069,2069,2069,6-Oct-15
11,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469,2469,2469,2-Mar-15
12,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469,2469,2469,26-Feb-15
13,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819,2819,2819,9-Mar-15
14,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819,2819,2819,12-Jan-15
15,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819,2819,2819,25-Feb-15
16,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2869,3100,2985,9-Jan-15
17,Thiruvannamalai,Arani,Red Gram,Other,FAQ,2989,2989,2989,13-Mar-15
18,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029,3029,3029,8-Jan-15
19,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029,3229,3129,12-Feb-15
20,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3062,3062,3062,13-Jan-15
21,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3129,3129,3129,23-Jan-15
22,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3149,3149,3149,22-Jan-15
23,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3370,3370,3370,23-Mar-15
24,Thiruvannamalai,Arani,Red Gram,Other,FAQ,3988,3988,3988,8-Apr-15
25,Thiruvannamalai,Arani,Red Gram,Other,FAQ,4010,4010,4010,5-Jan-15
26,Villupuram,Avalurpet,Red Gram,Other,FAQ,4910,0,0,10-Apr-15
27,Erode,Boothapadi,Red Gram,Other,FAQ,3029,4449,3739,10-Mar-15
28,Erode,Boothapadi,Red Gram,Other,FAQ,4714,5319,5018,3-Mar-15
29,Erode,Boothapadi,Red Gram,Other,FAQ,4769,5009,5001,3-Feb-15
30,Erode,Boothapadi,Red Gram,Other,FAQ,5009,5109,5059,10-Feb-15
31,Erode,Boothapadi,Red Gram,Other,FAQ,5171,5349,5260,17-Feb-15
32,Erode,Boothapadi,Red Gram,Other,FAQ,5489,5919,5704,24-Feb-15
33,Villupuram,Chinnasalem,Red Gram,Other,FAQ,1801,0,0,1-Apr-15
34,Villupuram,Gingee,Red Gram,Other,FAQ,1829,1829,1829,20-May-15
