Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3333,3922,3627,23-Jul-22
2,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3400,3833,3616,19-Jul-22
3,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3600,3726,3650,27-Jul-22
4,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700,3900,3800,4-Jul-22
5,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700,3900,3800,21-Jul-22
6,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700,3900,3800,28-Jul-22
7,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3750,4000,3850,10-Jul-22
8,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3800,4220,4010,10-Aug-22
9,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3900,4000,3950,22-Jul-22
10,Erode,Chithode,Sugarcane,Sugarcane,FAQ,3910,4100,4005,8-Aug-22
11,Erode,Chithode,Sugarcane,Sugarcane,FAQ,4000,4060,4030,25-Jul-22
12,Erode,Chithode,Sugarcane,Sugarcane,FAQ,4250,4336,4300,2-Aug-22
13,Erode,Chithode,Sugarcane,Sugarcane,FAQ,4300,4500,4400,11-Aug-22
14,Erode,Chithode,Sugarcane,Sugarcane,FAQ,4300,4566,4400,9-Aug-22
15,Salem,Salem,Sugarcane,Other,FAQ,2600,2700,2650,6-Nov-17
16,Coimbatore,Thondamuthur,Sugarcane,Other,FAQ,4000,4000,4000,18-Oct-16
17,Vellore,Vellore,Sugarcane,Other,FAQ,2050,2050,2050,22-Sep-21
18,Vellore,Vellore,Sugarcane,Other,FAQ,2200,3910,3500,18-Sep-20
19,Vellore,Vellore,Sugarcane,Other,FAQ,3000,3000,3000,28-Apr-21
20,Vellore,Vellore,Sugarcane,Other,FAQ,3050,4400,4400,20-Apr-21
21,Vellore,Vellore,Sugarcane,Other,FAQ,3300,3300,3300,16-Sep-21
22,Vellore,Vellore,Sugarcane,Other,FAQ,3675,3675,3675,9-Apr-20
