Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,1500,2000,2000,9-Jun-25
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,1800,2000,2000,26-Apr-25
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,1800,2000,2000,27-Apr-25
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2200,2200,19-Jun-25
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2200,2200,21-Jun-25
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2200,2200,22-Jun-25
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2200,2200,25-Nov-24
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2400,2400,3-Feb-25
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2400,2400,4-Dec-24
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2400,2400,11-Jun-25
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,1-Apr-25
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,2-Dec-24
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,2-Jun-25
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,3-Dec-24
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,3-Jun-25
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,3-Mar-25
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,4-Feb-25
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,4-Mar-25
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,5-Dec-24
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,5-May-25
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,7-Apr-25
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,7-Jan-25
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,7-Jul-25
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,8-Apr-25
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,8-Jul-25
26,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,9-Dec-24
27,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,9-Jul-25
28,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,10-Mar-25
29,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,11-Feb-25
30,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,11-Mar-25
31,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2000,2500,2500,12-May-25
