Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Coimbatore,Anaimalai,Turmeric,Other,FAQ,7200,7800,7500,16-Jun-22
2,Erode,Anthiyur,Turmeric,Finger,FAQ,7450,7550,7500,23-Nov-16
3,Erode,Anthiyur,Turmeric,Finger,FAQ,7950,8050,8000,24-Nov-16
4,Erode,Anthiyur,Turmeric,Finger,FAQ,8889,9100,8995,17-Nov-16
5,Erode,Anthiyur,Turmeric,Other,FAQ,1900,2000,2000,2-Aug-22
6,Erode,Anthiyur,Turmeric,Other,FAQ,2800,3000,2900,11-Aug-22
7,Erode,Anthiyur,Turmeric,Other,FAQ,5100,6650,5875,23-Aug-22
8,Erode,Anthiyur,Turmeric,Other,FAQ,5700,7205,7055,15-Oct-18
9,Erode,Anthiyur,Turmeric,Other,FAQ,7030,7060,7055,30-Oct-18
10,Erode,Anthiyur,Turmeric,Other,FAQ,7050,7205,7140,17-Oct-18
11,Dharmapuri,Arur,Turmeric,Bulb,FAQ,10769,12299,10769,11-Aug-23
12,Dharmapuri,Arur,Turmeric,Bulb,FAQ,14799,15679,15299,7-Jun-24
13,Dharmapuri,Arur,Turmeric,Finger,FAQ,12009,18090,17590,7-Jun-24
14,Dharmapuri,Arur,Turmeric,Finger,FAQ,12400,12400,12400,5-Jun-24
15,Dharmapuri,Arur,Turmeric,Finger,FAQ,12809,13169,13169,11-Aug-23
16,Salem,Attur,Turmeric,Finger,FAQ,3900,7100,5500,23-Mar-23
17,Salem,Attur,Turmeric,Finger,FAQ,3950,7050,6000,10-Jul-21
18,Salem,Attur,Turmeric,Finger,FAQ,4000,6950,5950,19-Jul-21
19,Salem,Attur,Turmeric,Finger,FAQ,4000,6950,5950,22-Jul-21
20,Salem,Attur,Turmeric,Finger,FAQ,4000,6950,5950,23-Jul-21
21,Salem,Attur,Turmeric,Finger,FAQ,4000,6950,5950,26-Jul-21
22,Salem,Attur,Turmeric,Finger,FAQ,4000,7050,5900,17-Mar-23
23,Salem,Attur,Turmeric,Finger,FAQ,4000,7050,5900,18-Mar-23
24,Salem,Attur,Turmeric,Finger,FAQ,4000,7150,6150,1-Jul-21
25,Salem,Attur,Turmeric,Finger,FAQ,4000,7150,6150,2-Jul-21
26,Salem,Attur,Turmeric,Finger,FAQ,4000,7150,6150,5-Jul-21
27,Salem,Attur,Turmeric,Finger,FAQ,4000,7150,6150,29-Jun-21
28,Salem,Attur,Turmeric,Finger,FAQ,4000,7150,6150,30-Jun-21
29,Salem,Attur,Turmeric,Finger,FAQ,4000,7900,6000,28-Mar-22
30,Salem,Attur,Turmeric,Finger,FAQ,4000,7900,6500,12-Jul-22
31,Salem,Attur,Turmeric,Finger,FAQ,4000,7910,6400,13-Jul-22
32,Salem,Attur,Turmeric,Finger,FAQ,4000,7920,6350,14-Jul-22
33,Salem,Attur,Turmeric,Finger,FAQ,4000,7920,6450,18-Jul-22
34,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6200,6-Apr-22
35,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6200,21-Apr-22
36,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6220,30-Mar-22
37,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6250,11-Apr-22
38,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6400,15-Jul-22
39,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6400,16-Jul-22
40,Salem,Attur,Turmeric,Finger,FAQ,4000,7930,6520,25-May-22
41,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6150,5-Apr-22
42,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6200,20-Apr-22
43,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6230,25-Apr-22
44,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6250,1-Apr-22
45,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6250,2-Apr-22
46,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6260,12-Apr-22
47,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6430,20-Jul-22
48,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6430,22-Jul-22
49,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6430,23-Jul-22
50,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6440,17-Aug-22
51,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6440,18-Aug-22
52,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6530,11-May-22
53,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6530,18-May-22
54,Salem,Attur,Turmeric,Finger,FAQ,4000,7940,6560,16-May-22
55,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6250,18-Apr-22
56,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6250,23-Apr-22
57,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6300,8-Apr-22
58,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6300,9-Apr-22
59,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6300,31-Mar-22
60,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6420,21-Jul-22
61,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6420,27-Jul-22
62,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6440,25-Jul-22
63,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6460,12-Aug-22
64,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6460,13-Aug-22
65,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6500,27-Apr-22
66,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6540,12-May-22
67,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6550,28-May-22
68,Salem,Attur,Turmeric,Finger,FAQ,4000,7950,6560,19-May-22
69,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6230,19-Apr-22
70,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6260,26-Apr-22
71,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6450,16-Aug-22
72,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,5-May-22
73,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,7-May-22
74,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,9-May-22
75,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,21-May-22
76,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,26-May-22
77,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6540,28-Apr-22
78,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6550,2-May-22
79,Salem,Attur,Turmeric,Finger,FAQ,4000,7960,6550,14-May-22
80,Salem,Attur,Turmeric,Finger,FAQ,4000,7970,6550,23-May-22
81,Salem,Attur,Turmeric,Finger,FAQ,4000,7970,6560,29-Apr-22
