District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3389.0,4715.0,4052.0,2019-01-10,3,25.418260869565216,1011.5
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3689.0,4700.0,4195.0,2019-01-07,0,25.6,1011.8
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4669.0,5239.0,4954.0,2019-01-04,4,25.801739130434783,1015.6999999999999
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4696.0,4700.0,4698.0,2019-01-08,1,25.54260869565217,1011.5999999999999
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4698.0,5672.0,5181.0,2019-04-01,0,26.8,117.89999999999999
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4785.0,0.0,5125.0,2019-03-19,1,26.138260869565215,170.20000000000002
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4800.0,0.0,5605.0,2019-03-18,0,26.08695652173913,182.9
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4801.0,5071.0,5051.0,2019-02-08,4,24.929565217391303,540.6
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4803.0,4803.0,4803.0,2019-01-02,2,25.919999999999998,1025.7
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4829.0,4952.0,4851.0,2019-03-12,1,25.856521739130436,268.0
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4829.0,4952.0,4890.0,2019-03-11,0,25.826956521739135,268.09999999999997
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4829.0,4952.0,4890.0,2019-03-13,2,25.893913043478264,256.7
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4829.0,5012.0,4929.0,2019-03-14,3,25.92869565217391,236.20000000000002
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4829.0,5125.0,5029.0,2019-03-20,2,26.17739130434782,169.8
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4900.0,4900.0,4900.0,2019-01-23,2,24.863478260869567,936.6
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4900.0,5237.0,5069.0,2019-03-26,1,26.48695652173913,139.70000000000002
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4919.0,5731.0,5071.0,2019-01-22,1,24.877391304347825,949.2
