District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Alangeyam,Coconut,Coconut,FAQ,1250.0,2250.0,1400.0,2017-08-11,4,28.508219178082193,557.1
Erode,Alangeyam,Coconut,Coconut,FAQ,1760.0,2200.0,1940.0,2018-07-16,0,28.198082191780824,1064.3
Erode,Alangeyam,Coconut,Coconut,FAQ,1760.0,2200.0,1960.0,2018-06-25,0,28.199452054794524,1078.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,600.0,2000.0,1800.0,2015-09-10,3,24.856164383561644,1202.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,600.0,2200.0,1800.0,2015-07-18,5,24.72849315068493,1199.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,600.0,2200.0,1800.0,2015-07-21,1,24.721369863013695,1226.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,600.0,2200.0,1800.0,2015-07-22,2,24.721643835616437,1229.7
Coimbatore,Anaimalai,Coconut,Other,FAQ,640.0,1430.0,1200.0,2015-07-14,1,24.72876712328767,1181.1
Coimbatore,Anaimalai,Coconut,Other,FAQ,640.0,1430.0,1200.0,2015-07-15,2,24.731232876712326,1184.3
Coimbatore,Anaimalai,Coconut,Other,FAQ,640.0,2180.0,1780.0,2015-08-06,3,24.733424657534247,1246.4
Coimbatore,Anaimalai,Coconut,Other,FAQ,640.0,2180.0,1780.0,2015-08-13,3,24.76958904109589,1207.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1450.0,1300.0,2015-07-09,3,24.690684931506844,1233.6
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1450.0,1300.0,2015-07-10,4,24.69698630136986,1224.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1450.0,1300.0,2015-07-11,5,24.70328767123288,1222.7
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1800.0,1200.0,2015-07-29,2,24.719452054794523,1252.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1800.0,1400.0,2015-07-25,5,24.717260273972606,1250.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,1900.0,1600.0,2015-10-31,5,25.0013698630137,1001.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2000.0,1700.0,2015-08-20,3,24.789315068493146,1228.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2000.0,1750.0,2015-08-22,5,24.784657534246573,1222.6999999999998
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2000.0,1800.0,2015-07-31,4,24.723561643835616,1255.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2200.0,1800.0,2015-08-05,2,24.72876712328767,1260.1000000000001
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2200.0,1800.0,2015-08-07,4,24.73890410958904,1235.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,650.0,2220.0,1810.0,2015-08-18,1,24.784109589041094,1231.3999999999999
Coimbatore,Anaimalai,Coconut,Other,FAQ,660.0,1480.0,1230.0,2015-07-23,3,24.72246575342466,1237.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,660.0,1480.0,1230.0,2015-07-24,4,24.71972602739726,1246.2
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1400.0,1400.0,2015-07-04,5,24.67917808219178,1256.1
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1600.0,1500.0,2015-12-17,3,25.047123287671234,1240.1
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1700.0,1500.0,2015-11-05,3,25.00794520547945,1095.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1800.0,1200.0,2015-07-05,6,24.681369863013696,1252.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1800.0,1500.0,2015-11-03,1,25.00794520547945,1048.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1800.0,1600.0,2015-11-01,6,25.0013698630137,1038.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1800.0,1650.0,2015-11-08,6,25.01178082191781,1109.4
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1800.0,1650.0,2015-11-09,0,25.00849315068493,1116.6
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1600.0,2015-11-04,2,25.00986301369863,1065.1000000000001
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1600.0,2015-11-06,4,25.01150684931507,1095.7
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1700.0,2015-11-07,5,25.013698630136986,1099.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1700.0,2015-11-13,4,25.00027397260274,1097.1
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1700.0,2015-11-14,5,24.996438356164386,1088.2
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,1900.0,1800.0,2015-11-19,3,24.995616438356162,1171.3
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1600.0,2015-07-07,1,24.684109589041096,1247.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1700.0,2015-09-16,2,24.870410958904113,1185.2
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1700.0,2015-09-22,1,24.87753424657534,1184.9
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1700.0,2015-09-23,2,24.87890410958904,1185.1000000000001
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1700.0,2015-09-24,3,24.878082191780823,1188.6000000000001
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1700.0,2015-09-26,5,24.885205479452054,1167.3999999999999
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1800.0,2015-09-11,4,24.85671232876712,1201.6
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1800.0,2015-09-12,5,24.85780821917808,1201.3000000000002
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2000.0,1800.0,2015-09-19,5,24.8772602739726,1185.8999999999999
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2200.0,1800.0,2015-08-01,5,24.726849315068492,1248.8
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2200.0,1800.0,2015-07-30,3,24.721369863013695,1252.7
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2200.0,2000.0,2015-07-08,2,24.687945205479455,1243.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,700.0,2400.0,1700.0,2015-07-28,1,24.71780821917808,1252.5
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,1800.0,1600.0,2015-12-15,1,25.04931506849315,1242.6000000000001
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,1900.0,1700.0,2015-10-15,3,24.88191780821918,1170.7
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,1950.0,1700.0,2015-11-21,5,24.995890410958904,1194.3000000000002
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1700.0,2015-09-01,1,24.819999999999997,1212.8999999999999
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1700.0,2015-10-14,2,24.879999999999995,1177.1
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1700.0,2015-08-23,6,24.785479452054798,1215.9
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1700.0,2015-08-25,1,24.78767123287671,1216.3
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1700.0,2015-08-26,2,24.78849315068493,1216.3
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1750.0,2015-10-17,5,24.894246575342464,1159.0
Coimbatore,Anaimalai,Coconut,Other,FAQ,750.0,2000.0,1800.0,2015-09-15,1,24.867671232876713,1185.1000000000001
