District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-01-09,3,26.722465753424654,1156.4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-01-10,4,26.72027397260274,1156.4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6500.0,6500.0,2025-05-18,6,26.09178082191781,1215.9
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6600.0,6600.0,2025-01-20,0,26.69424657534247,1161.2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6000.0,6600.0,6600.0,2025-05-26,0,26.07917808219178,1169.8999999999999
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6200.0,6500.0,6500.0,2025-05-24,5,26.10054794520548,1139.6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-12,6,26.72,1156.4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-14,2,26.084931506849315,1168.6
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-20,1,26.093698630136988,1203.5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-21,2,26.099178082191784,1177.1000000000001
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-22,2,26.681095890410955,1161.2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-24,4,26.66794520547945,1161.2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-25,6,26.092876712328767,1152.0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-26,6,26.655342465753428,1161.2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-28,2,26.063013698630137,1170.0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-01-29,2,26.63917808219178,1161.1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-29,3,26.050136986301368,1173.2
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6400.0,6600.0,6600.0,2025-05-30,4,26.038630136986303,1173.1000000000001
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,6800.0,6800.0,2025-01-06,0,26.72876712328767,1183.0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,6800.0,6800.0,2025-01-14,1,26.71917808219178,1158.5
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-01,6,26.03287671232877,1145.8000000000002
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-03,1,26.03506849315069,1136.8
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-07,1,26.72986301369863,1160.1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-06-08,6,26.070684931506854,1086.9
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-12,0,26.076164383561643,1176.1000000000001
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-13,0,26.718630136986306,1157.8
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-19,0,26.09041095890411,1225.8999999999999
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-27,0,26.649315068493152,1161.0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-03-27,3,26.367397260273975,1171.9
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-05-27,1,26.06986301369863,1170.3999999999999
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6500.0,7000.0,7000.0,2025-01-28,1,26.643287671232876,1161.1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-01,2,26.766301369863015,1195.1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-02,3,26.76054794520548,1195.1
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-03,4,26.753150684931512,1193.7
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-04,5,26.745753424657533,1192.8
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-05,6,26.736986301369864,1192.0
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-08,2,26.726849315068495,1156.4
Dharmapuri,AJattihalli(Farmers Market),Coconut,Coconut,Local,6600.0,6800.0,6800.0,2025-01-11,5,26.72109589041096,1156.4
