District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1500.0,2000.0,2000.0,2025-01-28,1,25.255999999999997,674.1999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-02-02,6,25.204666666666665,670.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-02-03,0,25.186,669.8
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-02-05,2,25.16466666666667,665.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-02-06,3,25.151333333333334,662.1
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-06-22,6,27.52066666666667,269.79999999999995
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-06-23,0,27.54066666666667,269.79999999999995
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1600.0,2000.0,2000.0,2025-01-25,5,25.30666666666667,692.6999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-01,5,25.221333333333334,670.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-07,4,25.13133333333333,661.6999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-08,5,25.116666666666667,660.9
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-09,6,25.099333333333334,660.8
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-10,0,25.07466666666667,660.6999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-02-14,4,24.986,655.8
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-06-20,4,27.47066666666667,268.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-07-21,0,27.860666666666663,377.9
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-06-21,5,27.49866666666667,268.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-01-26,6,25.29,679.9
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-01-27,0,25.274,674.5999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2024-09-28,5,27.22533333333333,789.0
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-01-29,2,25.24533333333333,670.8
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,1800.0,2000.0,2000.0,2025-01-31,4,25.22866666666667,670.4
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,2000.0,2200.0,2200.0,2025-03-06,3,24.874,561.0999999999999
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,2000.0,2400.0,2400.0,2025-07-02,2,27.673333333333332,280.5
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,2000.0,2400.0,2400.0,2025-07-03,3,27.68066666666667,280.59999999999997
Salem,Ammapet(Farmers Market),Coriander(Leaves),I Sort,Local,2000.0,2400.0,2400.0,2025-02-04,1,25.174666666666667,669.1999999999999
