District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Coimbatore,Annur,Cotton,Other,FAQ,3500.0,4500.0,3750.0,2017-11-29,2,25.323809523809523,945.0
Coimbatore,Annur,Cotton,Other,FAQ,4660.0,4925.0,4800.0,2018-01-03,2,24.718095238095238,966.9
Coimbatore,Annur,Cotton,Rch-2,FAQ,4400.0,4600.0,4500.0,2019-03-19,1,25.573333333333338,649.9
Coimbatore,Annur,Cotton,Rch-2,FAQ,4500.0,4800.0,4600.0,2019-01-28,0,24.831904761904767,781.4000000000001
Coimbatore,Annur,Cotton,Rch-2,FAQ,4700.0,4970.0,4800.0,2019-03-02,5,25.17238095238095,764.1
Coimbatore,Annur,Cotton,Rch-2,FAQ,5000.0,5300.0,5100.0,2019-07-24,2,27.26142857142857,272.9
Coimbatore,Annur,Cotton,Rch-2,FAQ,5000.0,5400.0,5200.0,2019-06-12,2,27.095714285714287,305.2
Coimbatore,Annur,Cotton,Rch-2,FAQ,8300.0,8550.0,8500.0,2022-07-13,2,25.892857142857142,429.5
Erode,Anthiyur,Cotton,Other,FAQ,3719.0,5069.0,4429.0,2017-09-18,0,29.775714285714283,633.6999999999999
Erode,Anthiyur,Cotton,Other,FAQ,4006.0,5306.0,4766.0,2018-04-05,3,27.319523809523808,554.1
Erode,Anthiyur,Cotton,Other,FAQ,4211.0,4849.0,4579.0,2016-04-07,3,26.870000000000005,634.1
Erode,Anthiyur,Cotton,Other,FAQ,4519.0,5089.0,4929.0,2017-08-28,0,29.728095238095236,433.7
Erode,Anthiyur,Cotton,Other,FAQ,4589.0,5302.0,4869.0,2019-10-22,1,29.609999999999996,658.6999999999999
Erode,Anthiyur,Cotton,Other,FAQ,4751.0,5561.0,5351.0,2020-02-05,2,26.909523809523808,876.1
Erode,Anthiyur,Cotton,Other,FAQ,5459.0,6389.0,6011.0,2017-02-23,3,26.89857142857143,281.09999999999997
Erode,Anthiyur,Cotton,Other,FAQ,5561.0,6817.0,6119.0,2016-09-19,0,28.72095238095238,377.0
Erode,Anthiyur,Cotton,Other,FAQ,6050.0,6716.0,6469.0,2023-06-27,1,27.99904761904762,315.59999999999997
Erode,Anthiyur,Cotton,Other,FAQ,6369.0,6729.0,6619.0,2023-11-21,1,28.77333333333333,698.7
Erode,Anthiyur,Cotton,Other,FAQ,6369.0,6869.0,6729.0,2024-01-24,2,27.512857142857143,715.4000000000001
Erode,Anthiyur,Cotton,Other,FAQ,6719.0,10159.0,8639.0,2022-06-29,2,27.747142857142858,378.5
Erode,Anthiyur,Cotton,Other,FAQ,6729.0,7229.0,7059.0,2023-09-26,1,29.507142857142856,406.70000000000005
Erode,Anthiyur,Cotton,Other,FAQ,6979.0,7389.0,7271.0,2023-09-05,1,29.39904761904762,351.70000000000005
Erode,Anthiyur,Cotton,Other,FAQ,7209.0,8021.0,7679.0,2021-09-21,1,29.059047619047618,469.2
Erode,Anthiyur,Cotton,Other,FAQ,7269.0,7542.0,7439.0,2024-05-08,2,28.58809523809524,457.09999999999997
Erode,Anthiyur,Cotton,Other,FAQ,7659.0,8369.0,8019.0,2023-02-15,2,26.001428571428573,873.1
Erode,Anthiyur,Cotton,Other,FAQ,11489.0,12999.0,12459.0,2022-04-27,2,26.77952380952381,808.8
Erode,Boothapadi,Cotton,Other,FAQ,3610.0,4370.0,3800.0,2015-07-02,3,27.059047619047618,561.3
Erode,Boothapadi,Cotton,Other,FAQ,4846.0,5376.0,5125.0,2017-07-20,3,29.21095238095238,294.4
Erode,Boothapadi,Cotton,Other,FAQ,5020.0,6639.0,5550.0,2017-01-31,1,26.798571428571428,366.5
Erode,Boothapadi,Cotton,Other,FAQ,6626.0,7370.0,6899.0,2023-09-14,3,29.454761904761906,359.6
Erode,Boothapadi,Cotton,Other,FAQ,7329.0,7837.0,7569.0,2023-03-30,3,26.330000000000002,585.3
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4100.0,4350.0,4250.0,2018-04-11,2,26.463333333333335,667.4
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4650.0,4350.0,2018-07-04,2,27.796666666666663,268.1
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4250.0,4750.0,4350.0,2018-06-20,2,27.51142857142857,494.49999999999994
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4350.0,4750.0,4550.0,2019-01-11,4,26.825238095238095,794.9
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4550.0,4750.0,4650.0,2018-10-12,4,29.28904761904762,439.40000000000003
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4650.0,4850.0,4750.0,2019-03-12,1,26.264761904761908,773.0
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5290.0,5280.0,2019-02-12,1,26.25952380952381,777.6
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-10-10,3,29.904285714285713,311.4
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-08-17,5,29.87333333333333,163.60000000000002
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-08-21,2,29.944761904761904,187.70000000000002
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-05-29,2,27.653333333333332,478.79999999999995
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5380.0,5250.0,2019-07-04,3,28.694761904761908,152.3
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5580.0,5350.0,2019-08-22,3,29.944285714285716,195.70000000000002
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5156.0,5170.0,5160.0,2019-04-04,3,26.435714285714287,726.0
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5200.0,5500.0,5300.0,2019-04-22,0,26.620476190476186,714.1999999999999
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5350.0,5680.0,5550.0,2019-09-05,3,30.06,221.6
Dindigul,Dindigul,Cotton,Other,FAQ,4100.0,4450.0,4300.0,2018-01-11,3,27.154761904761905,795.5
Salem,Gangavalli,Cotton,Gch,FAQ,4700.0,4900.0,4800.0,2020-02-04,1,25.573809523809523,835.1
Salem,Gangavalli,Cotton,Gch,FAQ,5000.0,5200.0,5100.0,2020-03-18,2,25.574761904761903,633.1999999999999
Salem,Gangavalli,Cotton,Gch,FAQ,5550.0,5650.0,5600.0,2019-02-20,2,25.958571428571428,501.9
Salem,Gangavalli,Cotton,Gch,FAQ,5550.0,5650.0,5600.0,2019-02-21,3,25.956666666666663,498.59999999999997
Salem,Gangavalli,Cotton,Gch,FAQ,5590.0,5650.0,5630.0,2019-02-01,4,25.973333333333333,536.5
Coimbatore,Annur,Cotton,Other,FAQ,3300.0,3860.0,3500.0,2015-03-11,2,23.826666666666668,661.5999999999999
Coimbatore,Annur,Cotton,Other,FAQ,3600.0,3920.0,3800.0,2015-01-07,2,24.012380952380955,825.8
Coimbatore,Annur,Cotton,Rch-2,FAQ,3500.0,4800.0,4500.0,2018-11-30,4,25.25761904761905,922.1999999999999
Coimbatore,Annur,Cotton,Rch-2,FAQ,4600.0,5000.0,4800.0,2019-04-25,3,26.30952380952381,580.3000000000001
Coimbatore,Annur,Cotton,Rch-2,FAQ,4620.0,4930.0,4800.0,2018-06-06,2,26.419999999999998,414.8
Coimbatore,Annur,Cotton,Rch-2,FAQ,4800.0,5200.0,5000.0,2019-11-13,2,25.76809523809524,985.5
Coimbatore,Annur,Cotton,Rch-2,FAQ,5000.0,5300.0,5200.0,2019-07-23,1,27.26333333333333,271.8
Coimbatore,Annur,Cotton,Rch-2,FAQ,5100.0,5300.0,5200.0,2019-11-14,3,25.74476190476191,985.0
Erode,Anthiyur,Cotton,Other,FAQ,3700.0,4200.0,4050.0,2015-10-12,0,27.783333333333335,794.3000000000001
Erode,Anthiyur,Cotton,Other,FAQ,3900.0,4300.0,4100.0,2015-07-20,0,27.298571428571428,571.0
Erode,Anthiyur,Cotton,Other,FAQ,3959.0,4601.0,4419.0,2020-09-15,1,29.69619047619048,490.20000000000005
Erode,Anthiyur,Cotton,Other,FAQ,4316.0,4866.0,4511.0,2016-03-31,3,26.697619047619046,659.0999999999999
Erode,Anthiyur,Cotton,Other,FAQ,4569.0,5369.0,5018.0,2018-02-08,3,27.12238095238095,755.7
Erode,Anthiyur,Cotton,Other,FAQ,5069.0,5619.0,5289.0,2016-07-04,0,28.396666666666665,205.6
Erode,Anthiyur,Cotton,Other,FAQ,5349.0,6069.0,5889.0,2019-07-23,1,29.698095238095238,331.0
Erode,Anthiyur,Cotton,Other,FAQ,5491.0,6239.0,5982.0,2018-10-22,0,29.193333333333335,590.7
Erode,Anthiyur,Cotton,Other,FAQ,5501.0,6350.0,6061.0,2016-10-03,0,28.69,385.2
Erode,Anthiyur,Cotton,Other,FAQ,5669.0,6169.0,6066.0,2023-12-19,1,28.34190476190476,710.1
Erode,Anthiyur,Cotton,Other,FAQ,6035.0,7029.0,6635.0,2023-10-17,1,29.483333333333334,554.9000000000001
Erode,Anthiyur,Cotton,Other,FAQ,6259.0,6789.0,6569.0,2023-07-12,2,28.21952380952381,299.1
Erode,Anthiyur,Cotton,Other,FAQ,6419.0,6919.0,6829.0,2024-02-07,2,27.505714285714284,649.1999999999999
Erode,Anthiyur,Cotton,Other,FAQ,6459.0,7189.0,6939.0,2021-07-06,1,28.14666666666667,351.5
Erode,Anthiyur,Cotton,Other,FAQ,6751.0,7281.0,7071.0,2024-02-21,2,27.5052380952381,634.3
Erode,Anthiyur,Cotton,Other,FAQ,6862.0,7417.0,7266.0,2024-05-15,2,28.688095238095237,457.6
Erode,Anthiyur,Cotton,Other,FAQ,7220.0,7690.0,7489.0,2024-03-06,2,27.48,628.0
Erode,Anthiyur,Cotton,Other,FAQ,7459.0,9099.0,8659.0,2022-10-12,2,28.25857142857143,808.3000000000001
Erode,Anthiyur,Cotton,Other,FAQ,7528.0,8828.0,8036.0,2023-01-25,2,25.997619047619047,939.0
Erode,Anthiyur,Cotton,Other,FAQ,9659.0,11869.0,10639.0,2022-06-22,2,27.614285714285714,449.9
Erode,Boothapadi,Cotton,Other,FAQ,4100.0,4400.0,4200.0,2015-08-05,2,27.424285714285713,595.9000000000001
Erode,Boothapadi,Cotton,Other,FAQ,4650.0,5370.0,4850.0,2016-06-22,2,28.322857142857142,219.9
Erode,Boothapadi,Cotton,Other,FAQ,5129.0,5809.0,5680.0,2018-08-29,2,29.33952380952381,374.59999999999997
Erode,Boothapadi,Cotton,Other,FAQ,5276.0,5998.0,5343.0,2016-10-13,3,28.590000000000003,390.40000000000003
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4050.0,4250.0,4100.0,2018-04-25,2,26.712857142857143,624.4
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4050.0,4250.0,4150.0,2018-05-03,3,26.85285714285714,615.8000000000001
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4080.0,4380.0,4180.0,2018-04-13,4,26.49095238095238,660.9
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4350.0,4250.0,2018-09-12,2,29.24857142857143,261.3
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4350.0,4250.0,2018-11-16,4,28.490952380952383,681.1999999999999
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4650.0,4550.0,2019-02-01,4,26.351904761904766,778.6
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4750.0,4250.0,2018-10-31,2,28.92142857142857,503.20000000000005
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4150.0,4750.0,4650.0,2019-02-19,1,26.252380952380953,780.2
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4350.0,4850.0,4550.0,2018-12-31,0,27.17666666666667,816.5999999999999
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,4650.0,5150.0,4850.0,2018-10-05,4,29.327142857142857,428.40000000000003
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5170.0,5160.0,2019-03-21,3,26.329047619047618,727.0
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5250.0,5200.0,2022-08-28,6,28.040952380952383,432.40000000000003
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-07-02,1,28.638571428571424,163.7
Dindigul,Dindigul,Cotton,Cotton - Ginned,FAQ,5150.0,5350.0,5250.0,2019-02-08,4,26.28666666666667,778.4000000000001
