District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4269.0,5406.0,4837.0,2018-12-17,0,27.298333333333332,453.7
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5217.0,5407.0,5217.0,2019-01-07,0,26.5975,482.00000000000006
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5222.0,7069.0,6769.0,2019-02-18,0,26.319166666666668,247.1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5429.0,6419.0,5429.0,2018-03-06,1,26.639166666666668,149.2
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5575.0,9619.0,9565.0,2022-03-08,1,25.516666666666666,307.9
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6169.0,10057.0,10050.0,2023-01-24,1,25.29666666666667,480.7
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6829.0,8560.0,6829.0,2023-03-07,1,25.554166666666667,225.60000000000002
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8075.0,9195.0,8615.0,2022-02-01,1,25.043333333333333,674.7
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8269.0,10229.0,10096.0,2023-01-31,1,25.163333333333334,473.8
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8628.0,8629.0,8629.0,2023-11-21,1,28.399166666666666,479.0
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9110.0,9659.0,9375.0,2022-02-08,1,25.089166666666664,635.5
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9250.0,9702.0,9475.0,2022-02-15,1,25.105,578.3
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9570.0,9766.0,9570.0,2022-03-01,1,25.3375,402.6
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10125.0,10269.0,10195.0,2023-02-21,1,25.309166666666666,298.5
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10249.0,10249.0,10249.0,2023-02-28,1,25.418333333333333,283.20000000000005
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3698.0,4009.0,3898.0,2022-09-29,3,28.751666666666665,454.79999999999995
