District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2023-02-10,4,25.71875,554.8
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2022-12-16,4,26.21875,868.3
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600.0,2700.0,2650.0,2024-01-19,4,27.1775,610.7
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600.0,2700.0,2650.0,2022-05-24,1,27.853125,233.50000000000003
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2600.0,2800.0,2700.0,2022-10-18,1,27.285000000000004,855.3
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700.0,2800.0,2750.0,2022-10-25,1,27.235625,775.4
Coimbatore,Annur,Jowar(Sorghum),Jowar (White),FAQ,2500.0,2600.0,2550.0,2022-02-02,2,23.986875,1053.3999999999999
Namakkal,Namagiripettai,Jowar(Sorghum),Other,FAQ,5400.0,5500.0,5450.0,2024-05-23,3,29.217499999999994,314.5
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,2200.0,2400.0,2300.0,2023-03-10,4,25.32875,557.7
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4300.0,4500.0,4400.0,2023-06-14,2,28.390625,239.29999999999998
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4600.0,5000.0,4800.0,2023-08-23,2,29.763125000000002,442.7
Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2023-09-22,4,29.49125,356.2
Erode,Punchaipuliyampatti,Jowar(Sorghum),Annigeri,FAQ,2000.0,2520.0,2260.0,2023-10-16,0,29.334375,414.59999999999997
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2500.0,3500.0,3000.0,2024-03-12,1,25.571875,537.9
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000.0,4000.0,3500.0,2022-03-02,2,24.297500000000003,817.6
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000.0,4000.0,3500.0,2023-02-06,0,24.07125,598.0999999999999
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000.0,4000.0,3500.0,2022-02-17,3,24.169375,857.3
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2750.0,3450.0,3150.0,2023-08-10,3,27.159375,426.7
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,3000.0,4000.0,3500.0,2023-04-28,4,25.941250000000004,203.0
Villupuram,Ulundurpettai,Jowar(Sorghum),Other,Local,2300.0,2366.0,2354.0,2025-03-17,0,26.027499999999996,1175.2
Madurai,Usilampatty,Jowar(Sorghum),Other,Local,2900.0,3000.0,2950.0,2025-06-23,0,29.058125,313.2
Vellore,Vellore,Jowar(Sorghum),Local,FAQ,4320.0,4320.0,4320.0,2024-02-05,0,26.1125,695.0999999999999
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1005.0,1005.0,1005.0,2023-04-11,1,24.734375,457.5
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3412.0,3412.0,3412.0,2023-04-20,3,25.108125,383.5
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2022-06-10,4,28.391249999999996,266.79999999999995
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2022-09-19,0,27.841250000000002,725.6
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900.0,2000.0,1950.0,2022-06-21,1,28.58625,317.0
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2500.0,2700.0,2600.0,2024-02-12,0,26.763124999999995,567.1999999999999
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2500.0,2700.0,2600.0,2024-02-21,2,26.788750000000004,559.5
Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700.0,2800.0,2750.0,2022-04-08,4,26.53,446.5
Coimbatore,Annur,Jowar(Sorghum),Jowar (White),FAQ,2500.0,2800.0,2650.0,2022-07-11,0,26.491875,399.4
Coimbatore,Chengeri,Jowar(Sorghum),Annigeri,FAQ,1600.0,1800.0,1700.0,2023-12-28,3,25.243125,756.4
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,2100.0,2700.0,2500.0,2022-07-29,4,29.010624999999997,462.99999999999994
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4500.0,5000.0,4800.0,2024-03-26,1,27.115,486.4
Namakkal,Namakkal,Jowar(Sorghum),Other,FAQ,4800.0,5000.0,4800.0,2023-11-18,5,28.380625000000002,683.8000000000001
