District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Alangeyam,Maize,Other,FAQ,1210.0,1250.0,1220.0,2015-02-14,5,25.156000000000002,561.4
Erode,Alangeyam,Maize,Other,FAQ,1501.0,1512.0,1506.0,2016-04-26,1,27.92,91.3
Erode,Alangeyam,Maize,Other,FAQ,2621.0,2626.0,2626.0,2016-06-07,1,29.57933333333333,83.8
Erode,Alangeyam,Maize,Yellow,FAQ,1640.0,1720.0,1680.0,2017-09-05,1,29.859333333333332,430.59999999999997
Coimbatore,Anaimalai,Maize,Other,FAQ,1600.0,1700.0,1650.0,2017-09-08,4,26.146,625.4
Coimbatore,Annur,Maize,Other,FAQ,1450.0,1550.0,1500.0,2016-12-26,0,24.996,300.1
Erode,Anthiyur,Maize,Other,FAQ,1139.0,1170.0,1162.0,2015-02-09,0,25.162666666666663,569.8
Erode,Anthiyur,Maize,Other,FAQ,1179.0,1206.0,1179.0,2018-03-12,0,26.874,235.6
Erode,Anthiyur,Maize,Other,FAQ,1211.0,1289.0,1269.0,2018-04-30,0,28.171333333333333,148.9
Erode,Anthiyur,Maize,Other,FAQ,1231.0,1342.0,1301.0,2015-06-15,0,27.833333333333332,453.1
Erode,Anthiyur,Maize,Other,FAQ,1242.0,1261.0,1258.0,2018-02-19,0,26.648,382.0
Erode,Anthiyur,Maize,Other,FAQ,1250.0,1331.0,1301.0,2015-05-18,0,27.105333333333334,449.40000000000003
Erode,Anthiyur,Maize,Other,FAQ,1262.0,1330.0,1301.0,2015-04-27,0,26.516000000000002,290.9
Erode,Anthiyur,Maize,Other,FAQ,1356.0,1356.0,1356.0,2018-10-01,0,29.000666666666664,332.5
Erode,Anthiyur,Maize,Other,FAQ,1429.0,1479.0,1459.0,2015-08-17,0,28.05,578.3
Erode,Anthiyur,Maize,Other,FAQ,1450.0,1516.0,1501.0,2016-12-05,0,27.140666666666664,288.6
Erode,Anthiyur,Maize,Other,FAQ,1686.0,1829.0,1752.0,2016-07-18,0,29.601333333333333,216.7
Ariyalur,Ariyalur Market,Maize,Other,FAQ,738.0,858.0,838.0,2017-10-20,4,29.843999999999998,635.3000000000001
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1060.0,1152.0,1149.0,2015-01-08,3,26.806,718.7
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1079.0,1159.0,1149.0,2015-01-12,0,26.651999999999997,700.9
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1096.0,1169.0,1127.0,2015-02-09,0,25.522000000000002,658.2
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1169.0,1479.0,1369.0,2018-10-22,0,29.861999999999995,444.4
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1181.0,1219.0,1216.0,2018-03-21,2,24.994666666666667,519.8000000000001
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1185.0,1215.0,1189.0,2018-03-19,0,25.010666666666665,531.6
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1215.0,1251.0,1251.0,2015-11-17,1,29.241333333333337,883.9
