District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2000.0,2500.0,2500.0,2024-08-07,2,28.591666666666665,590.6
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2000.0,2500.0,2500.0,2024-11-27,2,26.33111111111111,886.3
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2000.0,3000.0,3000.0,2024-07-20,5,28.59555555555556,524.1
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2000.0,3000.0,3000.0,2024-07-22,0,28.605555555555554,525.7
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-08-01,3,28.606111111111108,561.8
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2025-01-01,2,25.836111111111112,954.4
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2025-03-01,5,25.31388888888889,672.5
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-08-02,4,28.603333333333335,569.7
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-12-02,0,26.22555555555555,1032.7
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2025-02-02,6,25.405555555555555,825.1
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-09-02,0,28.37666666666666,734.4000000000001
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2025-01-03,4,25.79833333333334,950.1999999999999
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-09-03,1,28.36,735.2
Salem,Ammapet(Farmers Market),Mousambi(Sweet Lime),Mousambi,Local,2500.0,3000.0,3000.0,2024-12-04,2,26.217777777777776,1013.0
