District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,FAQ,1980.0,2190.0,2183.0,2023-11-07,1,29.741904761904763,938.8
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-05-22,3,27.18714285714286,742.4
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-05-25,6,27.231428571428573,729.4000000000001
Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,2025-03-31,0,26.925238095238097,920.1
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),BPT,Local,1300.0,1500.0,1400.0,2025-03-14,4,27.45095238095238,928.5
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2024-08-05,0,29.404761904761905,506.9
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-03-07,4,27.512857142857147,985.0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-02-20,3,27.722857142857144,916.3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-20,1,27.77333333333333,929.0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-22,3,27.817619047619047,909.9
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,2025-05-23,4,27.840952380952384,904.6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,2300.0,2500.0,2400.0,2025-06-03,1,27.935714285714287,855.6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ponni - General,Local,1300.0,1500.0,1400.0,2025-04-21,0,27.379523809523807,974.8000000000001
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1000.0,1333.0,1330.0,2022-04-21,3,25.805714285714284,975.6
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1225.0,1334.0,1330.0,2022-05-10,1,26.188571428571425,830.1999999999999
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1273.0,1333.0,1330.0,2022-03-31,3,25.68952380952381,995.4000000000001
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1292.0,1549.0,1540.0,2022-04-05,1,25.747619047619047,976.5
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1585.0,1607.0,1596.0,2023-04-20,3,25.217619047619053,730.6
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1585.0,1607.0,1596.0,2023-04-21,4,25.23190476190476,730.6
