District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149.0,1149.0,1149.0,2016-02-23,1,25.869090909090907,741.5
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149.0,1669.0,1409.0,2018-06-13,2,28.71030303030303,279.70000000000005
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1169.0,1169.0,1169.0,2017-01-03,1,27.654545454545456,347.2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1188.0,1188.0,1188.0,2015-09-08,1,28.476363636363633,394.40000000000003
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1269.0,1456.0,1363.0,2015-12-08,1,27.35878787878788,750.8
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1299.0,1299.0,1299.0,2016-03-07,0,25.78969696969697,731.9
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1319.0,1319.0,1319.0,2015-10-15,3,28.27212121212121,388.6
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367.0,1367.0,1367.0,2016-02-22,0,25.872121212121215,742.3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367.0,1747.0,1557.0,2018-05-15,1,28.007878787878788,291.70000000000005
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1369.0,1369.0,1369.0,2015-08-19,2,28.406060606060606,404.7
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1410.0,1410.0,1410.0,2016-09-27,1,29.29636363636364,167.79999999999998
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1419.0,1419.0,1419.0,2015-12-28,0,26.783636363636365,823.1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1469.0,1469.0,1469.0,2016-10-20,3,28.804242424242425,291.00000000000006
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1567.0,1642.0,1605.0,2018-05-02,2,27.696363636363635,419.70000000000005
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1587.0,1587.0,1587.0,2016-12-23,4,27.797575757575753,354.0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1619.0,1619.0,1619.0,2015-09-23,2,28.367878787878787,383.0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1660.0,1660.0,1660.0,2015-06-05,4,27.01272727272727,378.1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1669.0,1669.0,1669.0,2016-05-05,3,27.774545454545457,247.39999999999998
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1720.0,1720.0,1720.0,2015-05-27,2,26.76727272727273,378.5
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1739.0,1739.0,1739.0,2016-07-27,2,29.683030303030304,150.1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1789.0,1789.0,1789.0,2015-05-04,0,26.179393939393936,377.3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1790.0,1800.0,1795.0,2015-05-11,0,26.384242424242423,368.5
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1800.0,1800.0,1800.0,2015-06-08,0,27.087272727272726,377.7
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1869.0,1869.0,1869.0,2015-08-21,4,28.408484848484854,406.2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1941.0,1941.0,1941.0,2015-03-16,0,25.287272727272725,773.5999999999999
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1950.0,1950.0,1950.0,2015-03-30,0,25.41393939393939,725.4
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1969.0,1969.0,1969.0,2016-05-31,1,28.566666666666666,107.39999999999999
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1970.0,1970.0,1970.0,2015-03-31,1,25.43151515151515,711.3000000000001
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2000.0,2000.0,2000.0,2016-05-26,3,28.420606060606058,107.9
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2024.0,2026.0,2025.0,2018-03-20,1,26.80121212121212,580.4000000000001
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2139.0,2139.0,2139.0,2017-02-28,1,27.004242424242427,349.6
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2140.0,2140.0,2140.0,2015-03-27,4,25.366666666666667,753.9
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2169.0,2169.0,2169.0,2017-07-12,2,29.91393939393939,270.20000000000005
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2179.0,2179.0,2179.0,2017-06-22,3,29.51575757575758,264.20000000000005
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2198.0,2200.0,2199.0,2018-01-19,4,27.151515151515152,671.8000000000001
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2229.0,2231.0,2230.0,2018-02-22,3,26.903030303030302,572.6
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2230.0,2320.0,2275.0,2017-04-28,4,27.998181818181816,227.8
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2232.0,2232.0,2232.0,2017-04-27,3,27.9569696969697,232.10000000000002
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2269.0,2269.0,2269.0,2017-05-15,0,28.587272727272726,214.3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2310.0,2310.0,2310.0,2017-04-26,2,27.915151515151514,233.4
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2369.0,2369.0,2369.0,2017-04-05,2,27.086666666666662,294.1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,2369.0,2369.0,2369.0,2017-05-23,1,28.87757575757576,214.1
