District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-01,1,30.918333333333333,180.8
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-01,6,29.497500000000002,154.4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-02,2,30.94,181.8
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-02,0,29.558333333333334,155.50000000000003
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-03,3,30.959166666666665,182.2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-03,1,29.621666666666666,157.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-04,4,30.993333333333332,182.2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-04,2,29.671666666666667,161.00000000000003
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-05,5,31.040000000000003,183.2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-05,3,29.727500000000003,161.20000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-06,4,29.793333333333337,161.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-07,0,31.131666666666668,191.4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-07,5,29.859166666666667,162.20000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-08,1,31.174166666666668,192.60000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-08,6,29.916666666666668,162.70000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-09,2,31.235833333333336,181.20000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-09,0,29.965833333333332,164.00000000000003
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-10,3,31.275833333333335,183.4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-11,4,31.304166666666667,183.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-11,2,30.075,166.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-12,5,31.316666666666666,195.8
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-12,3,30.121666666666666,170.3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-13,6,31.329166666666666,196.5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-13,4,30.174166666666668,174.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-14,5,30.22666666666667,175.5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-15,1,31.347500000000004,203.0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-15,6,30.265833333333333,175.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-16,2,31.34916666666667,227.10000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-16,0,30.305,175.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-17,3,31.3475,230.4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-17,1,30.352500000000003,175.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-18,4,31.331666666666663,245.8
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-18,2,30.407500000000002,175.70000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-19,5,31.314999999999998,249.0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-20,4,30.506666666666668,177.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-21,0,31.3025,248.4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-21,5,30.550833333333333,177.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-22,6,30.590833333333332,177.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-23,0,30.625,178.0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-24,1,30.6675,178.1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-25,2,30.6975,178.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-26,3,30.729166666666668,179.70000000000002
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-28,5,30.80916666666667,180.9
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-29,6,30.85,180.6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-30,0,30.881666666666668,180.8
Salem,Ammapet(Farmers Market),Chili Red,Bold,Local,3500.0,4000.0,4000.0,2024-09-27,4,26.776666666666664,547.8
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,17000.0,17000.0,17000.0,2025-06-24,1,30.07,273.1
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,18000.0,18000.0,18000.0,2025-06-17,1,29.8525,268.40000000000003
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,18000.0,18000.0,18000.0,2025-06-19,3,29.924166666666668,271.1
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,18000.0,18000.0,18000.0,2025-06-20,4,29.958333333333332,272.40000000000003
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,18000.0,18000.0,18000.0,2025-06-23,0,30.045,273.0
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,18000.0,18000.0,18000.0,2025-06-28,5,30.169166666666666,259.59999999999997
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2024-08-01,3,30.275,457.40000000000003
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-01,1,30.293333333333333,246.3
Madurai,Anna nagar(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-05-01,3,27.93416666666667,233.9
