District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Anthiyur,Red Gram,Other,FAQ,3619.0,5229.0,4519.0,2015-03-23,0,25.69571428571429,679.2
Erode,Anthiyur,Red Gram,Other,FAQ,3789.0,4616.0,4466.0,2015-03-30,0,25.84190476190476,672.0
Erode,Anthiyur,Red Gram,Other,FAQ,4596.0,5049.0,4859.0,2015-01-26,0,25.589047619047623,889.0999999999999
Erode,Anthiyur,Red Gram,Other,FAQ,4716.0,5689.0,5369.0,2015-03-16,0,25.58238095238095,734.6
Erode,Anthiyur,Red Gram,Other,FAQ,4866.0,5369.0,5119.0,2015-02-02,0,25.461904761904762,870.4
Erode,Anthiyur,Red Gram,Other,FAQ,4909.0,5389.0,5266.0,2015-02-09,0,25.43,824.5
Erode,Anthiyur,Red Gram,Other,FAQ,5149.0,5750.0,5419.0,2015-02-16,0,25.433809523809522,811.2
Erode,Anthiyur,Red Gram,Other,FAQ,5579.0,5950.0,5819.0,2015-03-09,0,25.53761904761905,740.9
Erode,Anthiyur,Red Gram,Other,FAQ,5801.0,6210.0,6119.0,2015-03-02,0,25.453333333333333,796.5
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2069.0,2069.0,2069.0,2015-10-06,1,28.369999999999997,524.3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469.0,2469.0,2469.0,2015-03-02,0,25.800476190476193,900.9
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469.0,2469.0,2469.0,2015-02-26,3,25.804285714285715,905.0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-03-09,0,25.823809523809523,893.4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-01-12,0,26.59238095238095,919.4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-02-25,2,25.816190476190478,901.4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2869.0,3100.0,2985.0,2015-01-09,4,26.70095238095238,919.0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2989.0,2989.0,2989.0,2015-03-13,4,25.84285714285714,882.3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029.0,3029.0,3029.0,2015-01-08,3,26.724761904761905,917.6
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029.0,3229.0,3129.0,2015-02-12,3,25.93619047619048,902.5
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3062.0,3062.0,3062.0,2015-01-13,1,26.557142857142857,919.4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3129.0,3129.0,3129.0,2015-01-23,4,26.29380952380952,919.4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3149.0,3149.0,3149.0,2015-01-22,3,26.327142857142857,919.0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3370.0,3370.0,3370.0,2015-03-23,0,25.85238095238095,885.0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3988.0,3988.0,3988.0,2015-04-08,2,26.028095238095236,889.5
Thiruvannamalai,Arani,Red Gram,Other,FAQ,4010.0,4010.0,4010.0,2015-01-05,0,26.782380952380954,917.2
