District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,8400.0,10600.0,9500.0,2019-08-16,4,27.23369863013699,1320.3999999999999
Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-06-06,0,27.17150684931507,909.0999999999999
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,9000.0,8000.0,2016-02-26,4,26.78,1246.3000000000002
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-02,0,27.289315068493146,506.7
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-04,2,27.292328767123283,507.7
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-05,5,27.188493150684934,682.2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-10,0,27.14986301369863,800.0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-12,5,27.2013698630137,628.9
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-14,0,27.20876712328767,626.2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-21,5,27.30383561643836,510.90000000000003
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-22,5,27.162191780821914,744.9
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-24,0,27.166027397260276,737.6
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-25,1,27.16794520547945,737.9
