District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Anthiyur,Sesamum,White,FAQ,3729.0,9869.0,8879.0,2020-11-24,1,27.573529411764707,662.1
Erode,Anthiyur,Sesamum,White,FAQ,4669.0,10169.0,10169.0,2019-09-23,0,29.92,422.59999999999997
Erode,Anthiyur,Sesamum,White,FAQ,5309.0,10209.0,8109.0,2019-11-05,1,28.55,687.2
Erode,Anthiyur,Sesamum,White,FAQ,6269.0,9621.0,8249.0,2020-11-10,1,27.976470588235294,617.4
Erode,Anthiyur,Sesamum,White,FAQ,6489.0,9089.0,8939.0,2020-08-11,1,30.164117647058827,305.5
Erode,Anthiyur,Sesamum,White,FAQ,6689.0,8900.0,8529.0,2020-08-19,2,30.084705882352946,306.9
Erode,Anthiyur,Sesamum,White,FAQ,6896.0,9409.0,8339.0,2020-08-25,1,30.05235294117647,301.2
Erode,Anthiyur,Sesamum,White,FAQ,7167.0,12319.0,9719.0,2019-12-10,1,27.36529411764706,857.7
Erode,Anthiyur,Sesamum,White,FAQ,7329.0,7439.0,7384.0,2020-11-17,1,27.764705882352942,665.3
Erode,Anthiyur,Sesamum,White,FAQ,7389.0,10219.0,9619.0,2020-12-29,1,26.68647058823529,742.7
Erode,Anthiyur,Sesamum,White,FAQ,7469.0,12389.0,10819.0,2019-12-17,1,27.141176470588235,862.0
Erode,Anthiyur,Sesamum,White,FAQ,7509.0,11329.0,10629.0,2021-12-28,1,26.370588235294118,967.0
Erode,Anthiyur,Sesamum,White,FAQ,7529.0,9399.0,9099.0,2021-07-27,1,29.171764705882353,321.2
Erode,Anthiyur,Sesamum,White,FAQ,7659.0,11523.0,10223.0,2019-08-05,0,30.793529411764705,262.3
Erode,Anthiyur,Sesamum,White,FAQ,7669.0,9399.0,8439.0,2021-08-17,1,29.419411764705885,323.3
Erode,Anthiyur,Sesamum,White,FAQ,7669.0,12809.0,11919.0,2019-12-24,1,26.95058823529412,861.9000000000001
Erode,Anthiyur,Sesamum,White,FAQ,7689.0,12319.0,10285.0,2019-12-03,1,27.607647058823524,873.1
Erode,Anthiyur,Sesamum,White,FAQ,7819.0,8469.0,8329.0,2021-08-24,1,29.348823529411767,345.0
Erode,Anthiyur,Sesamum,White,FAQ,7869.0,9889.0,9569.0,2021-07-20,1,29.108823529411765,314.6
Erode,Anthiyur,Sesamum,White,FAQ,8169.0,9229.0,8769.0,2020-07-28,1,30.288235294117648,218.4
Erode,Anthiyur,Sesamum,White,FAQ,8222.0,13419.0,11529.0,2020-01-28,1,26.56,790.5
Erode,Anthiyur,Sesamum,White,FAQ,8329.0,10129.0,9336.0,2021-12-21,1,26.539411764705882,999.0
Erode,Anthiyur,Sesamum,White,FAQ,8369.0,11069.0,10325.0,2019-09-09,0,30.290000000000003,358.09999999999997
Erode,Anthiyur,Sesamum,White,FAQ,8379.0,10419.0,9009.0,2020-06-23,1,30.035882352941172,106.00000000000001
Erode,Anthiyur,Sesamum,White,FAQ,8469.0,9639.0,9469.0,2021-12-14,1,26.802352941176473,1021.8000000000001
Erode,Anthiyur,Sesamum,White,FAQ,8515.0,9926.0,9629.0,2019-11-19,1,28.029999999999998,796.7
