District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3333.0,3922.0,3627.0,2022-07-23,5,27.897962962962964,1671.8
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3400.0,3833.0,3616.0,2022-07-19,1,27.879444444444445,1660.2
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3600.0,3726.0,3650.0,2022-07-27,2,27.90037037037037,1689.8
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700.0,3900.0,3800.0,2022-07-04,0,27.844259259259257,1621.7
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700.0,3900.0,3800.0,2022-07-21,3,27.89074074074074,1667.4
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3700.0,3900.0,3800.0,2022-07-28,3,27.902407407407406,1691.8
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3750.0,4000.0,3850.0,2022-07-10,6,27.852407407407405,1645.3999999999999
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3800.0,4220.0,4010.0,2022-08-10,2,27.89,1815.6
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3900.0,4000.0,3950.0,2022-07-22,4,27.895185185185184,1671.2
Erode,Chithode,Sugarcane,Sugarcane,FAQ,3910.0,4100.0,4005.0,2022-08-08,0,27.898333333333333,1814.7
Erode,Chithode,Sugarcane,Sugarcane,FAQ,4000.0,4060.0,4030.0,2022-07-25,0,27.901296296296298,1674.8
Erode,Chithode,Sugarcane,Sugarcane,FAQ,4250.0,4336.0,4300.0,2022-08-02,1,27.907777777777778,1766.0
Erode,Chithode,Sugarcane,Sugarcane,FAQ,4300.0,4500.0,4400.0,2022-08-11,3,27.88759259259259,1815.6
Erode,Chithode,Sugarcane,Sugarcane,FAQ,4300.0,4566.0,4400.0,2022-08-09,1,27.89351851851852,1815.6
Salem,Salem,Sugarcane,Other,FAQ,2600.0,2700.0,2650.0,2017-11-06,0,27.299814814814813,1632.3
Coimbatore,Thondamuthur,Sugarcane,Other,FAQ,4000.0,4000.0,4000.0,2016-10-18,1,25.61574074074074,1489.5
Vellore,Vellore,Sugarcane,Other,FAQ,2050.0,2050.0,2050.0,2021-09-22,2,28.014074074074074,1824.5000000000002
Vellore,Vellore,Sugarcane,Other,FAQ,2200.0,3910.0,3500.0,2020-09-18,4,28.591851851851853,1578.4
Vellore,Vellore,Sugarcane,Other,FAQ,3000.0,3000.0,3000.0,2021-04-28,2,26.854074074074074,1631.9
Vellore,Vellore,Sugarcane,Other,FAQ,3050.0,4400.0,4400.0,2021-04-20,1,26.768148148148146,1758.1000000000001
Vellore,Vellore,Sugarcane,Other,FAQ,3300.0,3300.0,3300.0,2021-09-16,3,28.006296296296295,1811.6000000000001
Vellore,Vellore,Sugarcane,Other,FAQ,3675.0,3675.0,3675.0,2020-04-09,3,27.426481481481485,1329.3
