District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2000.0,4215.0,2591.0,2021-08-16,0,30.614,223.5
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2085.0,2300.0,2100.0,2017-10-05,3,30.32133333333333,564.8000000000001
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2500.0,2760.0,2650.0,2017-03-22,2,25.803333333333335,213.0
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,2865.0,2865.0,2865.0,2017-03-13,0,25.773333333333333,229.20000000000002
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3015.0,3029.0,3021.0,2019-02-20,2,25.44333333333333,651.0999999999999
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3086.0,3126.0,3126.0,2016-05-05,3,27.528666666666666,32.0
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3160.0,3160.0,3160.0,2016-07-22,4,30.012666666666664,307.40000000000003
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3166.0,3166.0,3166.0,2016-06-01,2,28.607333333333337,153.0
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3166.0,3166.0,3166.0,2016-05-30,0,28.514000000000003,148.9
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3169.0,3229.0,3209.0,2016-09-14,2,30.09933333333333,447.6
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3209.0,3241.0,3241.0,2016-08-04,3,30.104666666666667,377.5
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3229.0,3229.0,3229.0,2016-07-20,2,29.99,305.5
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3321.0,3321.0,3321.0,2016-06-06,0,28.782666666666664,181.2
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,3900.0,4144.0,4000.0,2022-11-30,2,27.51733333333333,663.7
Ariyalur,Ariyalur Market,Sunflower,Other,FAQ,4297.0,4700.0,4606.0,2021-09-27,0,30.326666666666668,324.6
