District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Coimbatore,Anaimalai,Turmeric,Other,FAQ,7200.0,7800.0,7500.0,2022-06-16,3,25.42037037037037,1123.1
Erode,Anthiyur,Turmeric,Finger,FAQ,7450.0,7550.0,7500.0,2016-11-23,2,28.528518518518517,433.90000000000003
Erode,Anthiyur,Turmeric,Finger,FAQ,7950.0,8050.0,8000.0,2016-11-24,3,28.51962962962963,433.90000000000003
Erode,Anthiyur,Turmeric,Finger,FAQ,8889.0,9100.0,8995.0,2016-11-17,3,28.542222222222225,433.90000000000003
Erode,Anthiyur,Turmeric,Other,FAQ,1900.0,2000.0,2000.0,2022-08-02,1,27.344814814814818,831.4000000000001
Erode,Anthiyur,Turmeric,Other,FAQ,2800.0,3000.0,2900.0,2022-08-11,3,27.382962962962964,775.4
Erode,Anthiyur,Turmeric,Other,FAQ,5100.0,6650.0,5875.0,2022-08-23,1,27.53037037037037,681.5
Erode,Anthiyur,Turmeric,Other,FAQ,5700.0,7205.0,7055.0,2018-10-15,0,28.98296296296296,615.6
Erode,Anthiyur,Turmeric,Other,FAQ,7030.0,7060.0,7055.0,2018-10-30,1,28.994814814814816,664.5
Erode,Anthiyur,Turmeric,Other,FAQ,7050.0,7205.0,7140.0,2018-10-17,2,28.991481481481483,640.4000000000001
Dharmapuri,Arur,Turmeric,Bulb,FAQ,10769.0,12299.0,10769.0,2023-08-11,4,25.78962962962963,509.0
Dharmapuri,Arur,Turmeric,Bulb,FAQ,14799.0,15679.0,15299.0,2024-06-07,4,26.846296296296295,726.4
Dharmapuri,Arur,Turmeric,Finger,FAQ,12009.0,18090.0,17590.0,2024-06-07,4,26.846296296296295,726.4
Dharmapuri,Arur,Turmeric,Finger,FAQ,12400.0,12400.0,12400.0,2024-06-05,2,26.862962962962964,701.1999999999999
Dharmapuri,Arur,Turmeric,Finger,FAQ,12809.0,13169.0,13169.0,2023-08-11,4,25.78962962962963,509.0
Salem,Attur,Turmeric,Finger,FAQ,3900.0,7100.0,5500.0,2023-03-23,3,25.02888888888889,1043.8000000000002
Salem,Attur,Turmeric,Finger,FAQ,3950.0,7050.0,6000.0,2021-07-10,5,26.54740740740741,718.6
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-19,0,26.535555555555554,725.5000000000001
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-22,3,26.538888888888888,725.7
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-23,4,26.533703703703704,727.1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-26,0,26.527037037037037,732.5
